t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-10,0.1823401210806879,-1865513677.6787944,300.25699260201526,13062798041810.404
2e-10,0.5485678200313892,-3746723290.030666,300.2943243655927,26188597112544.34
3e-10,1.0998684385933553,-5639926121.29589,300.3243123319713,39365223701871.734
4e-10,1.837302733173534,-7543846083.040648,300.351014238297,52587274153170.26
5e-10,2.7618729474152204,-9457882075.438097,300.375940765096,65851867694429.85
6e-10,3.874553467334819,-11381746280.805832,300.3998416996961,79157379138603.12
7e-10,5.1763083265003065,-13315329772.98378,300.4231536679287,92502917462169.72
7.999999999999999e-10,6.668102540519136,-15258639427.687416,300.446158840592,105888068853608.88
8.999999999999999e-10,8.35091013224622,-17211764077.258396,300.46905376997734,119312754504310.61
9.999999999999999e-10,10.225720220377273,-19174854697.89518,300.4919835064505,132777145289803.02
1.1e-09,12.293541904350345,-21148112090.579163,300.5150602000387,146281607488333.66
1.2e-09,14.555408369096089,-23131778892.849014,300.53837399955296,159826666702462.28
1.3e-09,17.012380469949026,-25126134252.454884,300.5619998092315,173412983082115.38
1.4000000000000001e-09,19.66554996592756,-27131490221.020493,300.58600167246357,187041333896794.88
1.5000000000000002e-09,22.516042514762237,-29148189306.964413,300.61043572500853,200712601075460.0
1.6000000000000003e-09,25.565020508961013,-31176602838.98033,300.63535224861744,214427762217633.88
1.7000000000000003e-09,28.813685810228655,-33217129915.30525,300.6607971384455,228187884101810.2
1.8000000000000004e-09,32.2632824249681,-35270196789.50529,300.6868129766992,241994118038195.2
1.9000000000000005e-09,35.91509915366167,-37336256591.15927,300.7134398347575,255847696616788.72
2.0000000000000005e-09,39.77047224003415,-39415789310.84831,300.7407158837313,269749931535323.34
2.1000000000000006e-09,43.830788041032676,-41509301999.61536,300.76867786712694,283702212281286.44
2.2000000000000007e-09,48.09748573518474,-43617329147.29894,300.7973614724622,297706005503936.56
2.3000000000000007e-09,52.57206008439726,-45740433214.12938,300.8268016276499,311762854955539.6
2.400000000000001e-09,57.25606426246169,-47879205297.12943,300.8570327405647,325874381912057.7
2.500000000000001e-09,62.15111276224387,-50034265918.0922,300.88808889514894,340042286006108.1
2.600000000000001e-09,67.25888439263207,-52206265923.80718,300.9200040138841,354268346421743.0
2.700000000000001e-09,72.58112537570258,-54395887492.17223,300.95281199395964,368554423413193.7
2.800000000000001e-09,78.11965255417303,-56603845240.13242,300.986546822674,382902460119351.75
2.900000000000001e-09,83.87635671900424,-58830887431.21134,301.02124267629625,397314484653233.94
3.0000000000000012e-09,89.85320606694721,-61077797281.887375,301.0569340056504,411792612451575.9
3.1000000000000013e-09,96.05224979788895,-63345394367.29477,301.0936556109635,426339048874424.6
3.2000000000000014e-09,102.47562186201161,-65634536127.78901,301.1314427079763,440956092048459.8
3.3000000000000014e-09,109.12554486703107,-67946119478.82678,301.17033098690007,455646135950974.75
3.4000000000000015e-09,116.00433415611447,-70281082527.45186,301.2103566654835,470411673734160.44
3.5000000000000016e-09,123.11440206748574,-72640406399.43222,301.2515565372083,485255301291680.7
3.6000000000000016e-09,130.45826238720892,-75025117181.8229,301.29396801543584,500179721071592.25
3.7000000000000017e-09,138.03853500719012,-77436287986.4316,301.337629174178,515187746141530.7
3.800000000000002e-09,145.85795080105885,-79875041140.35138,301.38257878604077,530282304513795.5
3.900000000000002e-09,153.91935673127807,-82342550510.42468,301.428856357795,545466443739588.56
4.000000000000002e-09,162.22572120159316,-84840043969.20981,301.4765021639494,560743335783202.0
4.100000000000002e-09,170.78013966976263,-87368806010.75748,301.5255572786389,576116282188468.4
4.200000000000002e-09,179.58584053642426,-89930180525.26814,301.5760636060886,591588719551284.5
4.300000000000002e-09,188.64619132694014,-92525573742.502,301.62806390987333,607164225313532.9
4.400000000000002e-09,197.96470518414077,-95156457354.67442,301.6816018411572,622846523895264.0
4.500000000000002e-09,207.5450476910556,-97824371830.4667,301.73672196606935,638639493183592.0
4.600000000000002e-09,217.3910440439815,-100530929932.75844,301.7934697923479,654547171398403.2
4.700000000000002e-09,227.50668659761007,-103277820453.72478,301.851891795365,670573764356707.4
4.8000000000000024e-09,237.8961428054161,-106066812182.06143,301.91203544362895,686723653159276.0
4.9000000000000025e-09,248.56376358011323,-108899758118.31075,301.97394922384444,703001402325142.4
5.0000000000000026e-09,259.5140921007162,-111778599955.56146,302.0376826656025,719411768401581.9
5.100000000000003e-09,270.75187309462655,-114705372844.21042,302.1032863657585,735959709079372.6
5.200000000000003e-09,282.28206262518916,-117682210461.00798,302.1708120125509,752650392845476.8
5.300000000000003e-09,294.10983841736504,-120711350404.26201,302.24031240950427,769489209207778.6
5.400000000000003e-09,306.24061075654646,-123795139938.89223,302.31184149915407,786481779529210.5
5.500000000000003e-09,318.6800339981184,-126936042116.98466,302.38545438662675,803633968511487.8
5.600000000000003e-09,331.4340187281648,-130136642301.6312,302.4612073631007,820951896371790.6
5.700000000000003e-09,344.5087446187475,-133399655124.18625,302.539157929174,838441951759101.0
5.800000000000003e-09,357.91067402447203,-136727931907.59528,302.619364818157,856110805460527.5
5.900000000000003e-09,371.6465663706193,-140124468591.23972,302.7018880193072,873965424951889.0
6.000000000000003e-09,385.72349338699837,-143592414195.7749,302.7867888010208,892013089851076.6
6.100000000000003e-09,400.1488552458789,-147135079869.74368,302.8741297339918,910261408337318.6
6.200000000000003e-09,414.93039766694096,-150755948563.3926,302.96397471434875,928718334604471.8
6.3000000000000035e-09,430.0762300571522,-154458685379.07388,303.0563889867758,947392187421874.1
6.4000000000000035e-09,445.59484475890326,-158247148651.98486,303.15143916762514,966291669882182.4
6.500000000000004e-09,461.49513748562816,-162125401819.7598,303.2491932680233,985425890421997.5
6.600000000000004e-09,477.78642903056993,-166097726144.67715,303.34972071697564,1004804385208038.4
6.700000000000004e-09,494.47848834136335,-170168634357.99347,303.4530923844698,1024437141989168.8
6.800000000000004e-09,511.58155706076036,-174342885302.24338,303.55938060457873,1044334625522812.4
6.900000000000004e-09,529.1063756421833,-178625499654.3003,303.6686591985625,1064507804693245.9
7.000000000000004e-09,547.0642111579245,-183021776819.64676,303.78100349796745,1084968181449017.5
7.100000000000004e-09,565.4668869278037,-187537313096.74002,303.8964903677201,1105727821697386.2
7.200000000000004e-09,584.3268141070229,-192178021219.65582,304.01519822921256,1126799388305287.5
7.300000000000004e-09,603.6570253839409,-196950151397.44263,304.13720708337496,1148196176369010.0
7.400000000000004e-09,623.4712109516055,-201860313979.9549,304.2625985337309,1169932150928619.5
7.500000000000004e-09,643.7837569312818,-206915503892.43243,304.3914558094293,1192021987318305.0
7.600000000000004e-09,664.609786442015,-212123126994.93903,304.52386378824804,1214481114360385.8
7.700000000000003e-09,685.9652035276226,-217491028538.0723,304.65990901956076,1237325760628833.2
7.800000000000002e-09,707.8667401715946,-223027523903.3317,304.7996797472618,1260573004028016.5
7.900000000000001e-09,730.332006651373,-228741431835.3053,304.9432659326395,1284240824954120.5
8e-09,753.3795455066017,-234642110393.7107,305.0907592771908,1308348163330532.5
8.1e-09,777.0288894214106,-240739495876.45547,305.24225324536775,1332914979834652.8
8.199999999999999e-09,801.3006233488927,-247044144990.625,305.3978430872474,1357962321662297.5
8.299999999999998e-09,826.2164512369474,-253567280576.89627,305.557625861114,1383512393207414.0
8.399999999999997e-09,851.7992677489163,-260320841224.74338,305.7217004559454,1409588632069496.8
8.499999999999997e-09,878.0732354103213,-267317535151.24503,305.890167613791,1436215790839230.5
8.599999999999996e-09,905.0638676549218,-274570898755.87836,306.0631299520319,1463420025154860.2
8.699999999999995e-09,932.7981182897348,-282095360307.82465,306.2406919855113,1491228988568012.2
8.799999999999994e-09,961.3044779501142,-289906309271.5836,306.4229601485232,1519671934808616.5
8.899999999999994e-09,990.6130781730764,-298020171831.84564,306.6100428166479,1548779828094769.0
