t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-08,1.136798948912504e-05,-11.334490216881514,300.4612015989832,8063111.081232706
2e-08,1.136798948912504e-05,-11.560632924376453,300.8661825929772,8063111.081232706
3.0000000000000004e-08,1.136798948912504e-05,-11.845088351100356,301.3659872837063,8063111.081232706
4e-08,1.136798948912504e-05,-12.180113387148426,301.94152606400837,8063111.081232706
5e-08,1.136798948912504e-05,-12.561688958805162,302.5806230407214,8063111.081232706
6e-08,1.136798948912504e-05,-12.987641190437873,303.2745565335951,8063111.081232706
6.999999999999999e-08,1.136798948912504e-05,-13.45688165304884,304.0166485996048,8063111.081232706
7.999999999999999e-08,1.136798948912504e-05,-13.969029219584662,304.8015556448227,8063111.081232706
8.999999999999999e-08,1.136798948912504e-05,-14.524198290352151,305.62486601963616,8063111.081232706
9.999999999999998e-08,1.136798948912504e-05,-15.122870131015544,306.48285186141936,8063111.081232706
1.0999999999999998e-07,1.136798948912504e-05,-15.76580984875489,307.3723062703078,8063111.081232706
1.2e-07,1.136798948912504e-05,-16.454010251528178,308.2904312213716,8063111.081232706
1.3e-07,1.136798948912504e-05,-17.188652424544415,309.23475738891665,8063111.081232706
1.4e-07,1.136798948912504e-05,-17.971077158465693,310.2030849717532,8063111.081232706
1.5000000000000002e-07,1.136798948912504e-05,-18.80276367041229,311.19343886299987,8063111.081232706
1.6000000000000003e-07,1.136798948912504e-05,-19.685313367046362,312.20403392814484,8063111.081232706
1.7000000000000004e-07,1.136798948912504e-05,-20.620437176164792,313.23324759761243,8063111.081232706
1.8000000000000005e-07,1.136798948912504e-05,-21.609945453299748,314.2795978745378,8063111.081232706
1.9000000000000006e-07,1.136798948912504e-05,-22.65573977646639,315.34172543216556,8063111.081232706
2.0000000000000007e-07,1.136798948912504e-05,-23.759806143814004,316.41837885423416,8063111.081232706
2.1000000000000008e-07,1.136798948912504e-05,-24.924209224907607,317.5084023285193,8063111.081232706
2.200000000000001e-07,1.136798948912504e-05,-26.15108741014046,318.6107252817509,8063111.081232706
2.300000000000001e-07,1.136798948912504e-05,-27.442648468751887,319.7243535700601,8063111.081232706
2.400000000000001e-07,1.136798948912504e-05,-28.801165673180506,320.84836192983886,8063111.081232706
2.500000000000001e-07,1.136798948912504e-05,-30.228974281876994,321.9818874603152,8063111.081232706
2.600000000000001e-07,1.136798948912504e-05,-31.728468298104385,323.12412395850515,8063111.081232706
2.700000000000001e-07,1.136798948912504e-05,-33.302097441267215,324.2743169643757,8063111.081232706
2.800000000000001e-07,1.136798948912504e-05,-34.95236428171375,325.4317594023932,8063111.081232706
2.9000000000000014e-07,1.136798948912504e-05,-36.68182150098697,326.5957877274878,8063111.081232706
3.0000000000000015e-07,1.136798948912504e-05,-38.493069248029975,327.7657785004911,8063111.081232706
3.1000000000000016e-07,1.136798948912504e-05,-40.388752568517106,328.9411453315025,8063111.081232706
3.2000000000000017e-07,1.136798948912504e-05,-42.37155888971446,330.12133614026936,8063111.081232706
3.300000000000002e-07,1.136798948912504e-05,-44.44421554743322,331.305830691179,8063111.081232706
3.400000000000002e-07,1.136798948912504e-05,-46.609487344941456,332.494138367322,8063111.081232706
3.500000000000002e-07,1.136798948912504e-05,-48.870174136358514,333.6857961536641,8063111.081232706
3.600000000000002e-07,1.136798948912504e-05,-51.22910842918265,334.880366803921,8063111.081232706
3.700000000000002e-07,1.136798948912504e-05,-53.689153002327856,336.07743716948926,8063111.081232706
3.800000000000002e-07,1.136798948912504e-05,-56.25319853742912,337.27661667189,8063111.081232706
3.9000000000000024e-07,1.136798948912504e-05,-58.92416126230148,338.4775359027726,8063111.081232706
4.0000000000000025e-07,1.136798948912504e-05,-61.704980606337784,339.6798453376926,8063111.081232706
