t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-06,568493381.5260979,-35701046237158.42,300.7337264514352,2147409714696893.8
2.05e-06,1915168894.5744176,-440565055917959.3,301.88769718167515,4703827690014381.0
3.1525e-06,4135261130.0234036,-915837374065712.5,303.3994520251474,7107774330375112.0
4.310125e-06,7574277818.69454,-1531350835679800.5,305.246810688422,1.0011555108280356e+16
5.52563125e-06,12822968458.627813,-2391056764282177.0,307.42237434079686,1.3789885355877756e+16
6.8019128125e-06,20881124571.306454,-3662724878353635.5,309.9259764650587,1.897012694945441e+16
8.142008453125e-06,33466150454.106247,-5632325755014862.0,312.76159648671063,2.6364116114547828e+16
9.54910887578125e-06,53594132588.18797,-8805223534241833.0,315.9358252854663,3.727269015367757e+16
1.1026564319570314e-05,86694621103.47781,-1.4100296877933202e+16,319.4569926017602,5.38356663481061e+16
1.2577892535548829e-05,142786784111.84485,-2.3228301712160452e+16,323.3331134142347,7.96386353441352e+16
1.4206787162326272e-05,240840195988.40097,-3.9454462708184744e+16,327.57556925703926,1.2081516729007398e+17
1.5917126520442588e-05,417653290169.3008,-6.914301573015219e+16,332.19538229545884,1.880148041874348e+17
1.771298284646472e-05,746278921116.1973,-1.249481935114631e+17,337.20363444362295,3.000022408434187e+17
1.9598631988787957e-05,1374915184574.9468,-2.324949906626675e+17,342.6114840633193,4.902884684371411e+17
2.1578563588227356e-05,2610247905954.461,-4.445332053199114e+17,348.4299943406637,8.194418543983355e+17
2.3657491767638723e-05,5098448356192.737,-8.712242694586559e+17,354.66996351528553,1.3980871898337874e+18
2.584036635602066e-05,10222714330433.451,-1.7454561443053425e+18,361.3417614199819,2.430063485547437e+18
2.8132384673821694e-05,20984401561987.29,-3.5644740796350956e+18,368.4551710053818,4.2936177317326623e+18
3.053900390751278e-05,43968685480979.39,-7.397707553173542e+18,376.01923434924646,7.694049461293021e+18
3.306595410288842e-05,93749325315134.23,-1.5556721526220136e+19,384.04210373565735,1.3950731524547443e+19
3.571925180803284e-05,202766397520811.2,-3.3046131903760572e+19,392.5308992284857,2.5532013463107473e+19
3.850521439843448e-05,443412612603577.7,-7.0679099794822595e+19,401.4915747481046,4.704086572613749e+19
4.143047511835621e-05,976953649375897.1,-1.5163827521758963e+20,410.92879503139324,8.698225245217638e+19
4.4501998874274025e-05,2159573766595082.8,-3.247389392761018e+20,420.84582605488794,1.6074731687624373e+20
4.772709881798773e-05,4761687948242024.0,-6.888791011016885e+20,431.24444156837995,2.9494405684148457e+20
5.111345375888712e-05,1.0377793503555288e+16,-1.4289199156094346e+21,442.1248483557268,5.3120422663893484e+20
5.4669126446831475e-05,2.2047653834338828e+16,-2.8398864133506057e+21,453.48563273912873,9.222374586465637e+20
5.8402582769173055e-05,4.488548618123335e+16,-5.279777086515675e+21,465.323730692213,1.510754126537568e+21
6.232271190763171e-05,8.639689071055376e+16,-9.043794844849533e+21,477.6344237358275,2.304581281749895e+21
6.64388475030133e-05,1.5669738074617322e+17,-1.4318807161767417e+22,490.4113625584903,3.286630463719225e+21
7.076078987816397e-05,2.6930170363813254e+17,-2.1305428464064075e+22,503.64662002216596,4.452683408781721e+21
7.529882937207217e-05,4.425169692561284e+17,-3.0331453429783955e+22,517.3307748680863,5.825874843554929e+21
8.006377084067578e-05,7.008170964954025e+17,-4.185243264022802e+22,531.4530270076857,7.442504621938063e+21
8.506695938270958e-05,1.0755874398790237e+18,-5.641408403671311e+22,546.0013447513765,9.336088181406769e+21
9.032030735184505e-05,1.6047229836562655e+18,-7.461631385129783e+22,560.9626436774113,1.1531289805623935e+22
9.583632271943731e-05,2.330928000065909e+18,-9.706764735203568e+22,576.3229960663255,1.4054516860696419e+22
0.00010162813885540918,3.2995338710557025e+18,-1.2434060962607338e+23,592.0678689256603,1.6972428476323843e+22
0.00010770954579817965,4.5573612653278116e+18,-1.5694938275655283e+23,608.1823876200666,2.04657844127908e+22
0.00011409502308808864,6.153373247643794e+18,-1.9534218633171922e+23,624.6516210333092,2.495441003221623e+22
0.00012079977424249307,8.139810877373164e+18,-2.398654476339251e+23,641.460883065993,3.136582171087666e+22
0.00012783976295461773,1.0570019383885855e+19,-2.906240553181452e+23,658.5960441752557,4.195184314380458e+22
0.00013523175110234862,1.348169294981499e+19,-3.469524691733004e+23,676.043845661246,6.370539923089392e+22
0.00014299333865746606,1.672023867585612e+19,-4.043963168643482e+23,693.7922085792221,1.2903535240806541e+23
0.00015114300559033938,1.8054838585007585e+19,-4.673904335079413e+23,711.8305285873785,2.2599509316175383e+23
0.00015890459314545682,1.8090727158465505e+19,-5.445185676593772e+23,728.4917535815578,2.527554493729465e+23
0.00016705426007833013,1.7966513974717434e+19,-6.28741205649016e+23,745.4509183676829,2.5365171517405204e+23
0.00017561141035784712,1.7805014586888974e+19,-7.162636326310117e+23,762.7050666205232,2.4638972749513973e+23
0.00018459641815133995,1.7612508076454859e+19,-8.068028379738951e+23,780.2523314190747,2.352538819920214e+23
0.00019403067633450743,1.7380045908271645e+19,-9.002421057495403e+23,798.0923310981339,2.2133152613044574e+23
0.00020393664742683328,1.708947475623152e+19,-9.962888748436111e+23,816.2263608396817,2.047817370584085e+23
0.00021393664742683327,1.6722943582702735e+19,-1.0909283506052221e+24,833.9663472787817,1.8608398838950066e+23
0.00022393664742683327,1.6235845704944515e+19,-1.1830378469544093e+24,851.1808038531476,1.6510623078519242e+23
0.00023393664742683327,1.5538762403301693e+19,-1.2724397420277836e+24,867.9074931397621,1.4150854084492156e+23
0.00024393664742683327,1.4498985453319518e+19,-1.3588148314693013e+24,884.1811125180667,1.162271839303237e+23
0.0002539366474268333,1.3105097794724227e+19,-1.4400103115784495e+24,899.9420365071612,9.357348172505673e+22
0.0002639366474268333,1.160536608330929e+19,-1.5147500788214419e+24,915.1437253992926,7.728518660467594e+22
0.00027393664742683335,1.0227517949762066e+19,-1.5854889303916463e+24,929.9082463438396,6.66520920314468e+22
0.0002839366474268334,9.04601903350142e+18,-1.653130984342477e+24,944.2882630056046,5.963780492480562e+22
0.0002939366474268334,8.051187672324763e+18,-1.7180135855228122e+24,958.3202252283835,5.478608946444413e+22
0.00030393664742683343,7.21152919154064e+18,-1.7802622118120645e+24,972.0326153502638,5.1254713151544676e+22
0.00031393664742683346,6.496896521851572e+18,-1.8399398107030777e+24,985.4489277550963,4.856872495496622e+22
0.0003239366474268335,5.883217346656184e+18,-1.897096310412675e+24,998.589142354733,4.645141056189404e+22
0.0003339366474268335,5.351950475835518e+18,-1.9517828221333665e+24,1011.4705894249914,4.47334846459194e+22
0.00034393664742683353,4.888750362043594e+18,-2.0040548858974066e+24,1024.108514227759,4.33062654071119e+22
0.00035393664742683356,4.482360318231352e+18,-2.053972565362862e+24,1036.516472512564,4.20969964317465e+22
0.0003639366474268336,4.123819014251227e+18,-2.101599729172137e+24,1048.7066213426554,4.105524911083454e+22
0.0003739366474268336,3.8059007619408773e+18,-2.147003192385215e+24,1060.6899405617462,4.014505471723517e+22
0.00038393664742683364,3.522714683695717e+18,-2.1902519036672403e+24,1072.4764059453717,3.934014045478463e+22
0.00039393664742683367,3.269411762361917e+18,-2.2314162231785842e+24,1084.0751274131992,3.862092852685239e+22
0.0004039366474268337,3.0419666474601984e+18,-2.2705672958704256e+24,1095.4944612365177,3.797258053032243e+22
0.0004139366474268337,2.8370124431460485e+18,-2.307776513710383e+24,1106.742102439856,3.738368534666978e+22
0.00042393664742683374,2.651713816585781e+18,-2.3431150576425634e+24,1117.8251618278862,3.68453562825584e+22
0.00043393664742683377,2.483668317239865e+18,-2.3766535098310978e+24,1128.7502308820854,3.635059597907334e+22
0.0004439366474268338,2.330828787087946e+18,-2.4084615271882513e+24,1139.5234369506202,3.5893840940044994e+22
0.0004539366474268338,2.191441753648902e+18,-2.438607567840772e+24,1150.1504905730433,3.5470629230981975e+22
0.00046393664742683385,2.0639980809935913e+18,-2.4671586628976523e+24,1160.6367263604604,3.507735430943645e+22
0.0004739366474268339,1.947193123371915e+18,-2.494180226614109e+24,1170.987138542058,3.4711080148664794e+22
0.0004839366474268339,1.839894316939546e+18,-2.519735898791128e+24,1181.2064120573223,3.4369400669839353e+22
0.0004939366474268339,1.7411146448405404e+18,-2.5438874140049653e+24,1191.298949897826,3.4050331662143915e+22
0.0005039366474268339,1.6499923164521034e+18,-2.5666944933345986e+24,1201.2688972677481,3.375223041757716e+22
0.0005139366474268339,1.5657663284100186e+18,-2.588214753800702e+24,1211.1201630277258,3.347371532720127e+22
0.000523936647426834,1.4877711096587576e+18,-2.608503632289533e+24,1220.856438804515,3.3213636008056596e+22
0.000533936647426834,1.415417307920782e+18,-2.62761432446258e+24,1230.4812160838308,3.2971017039090062e+22
0.000543936647426834,1.348182767078147e+18,-2.6455977328704495e+24,1239.9978015516322,3.274502817232848e+22
0.000553936647426834,1.2856036098280346e+18,-2.66250242540081e+24,1249.4093309070342,3.2534957582531277e+22
0.0005639366474268341,1.2272666348408735e+18,-2.6783746028097435e+24,1258.7187813357853,3.2340190035368823e+22
0.0005739366474268341,1.1728028435934991e+18,-2.6932580752548955e+24,1267.928982805167,3.2160189063729634e+22
0.0005839366474268341,1.1218819100104093e+18,-2.707194248003975e+24,1277.0426283179816,3.1994482359772266e+22
0.0005939366474268341,1.0742074393673226e+18,-2.7202221167157565e+24,1286.0622832440206,3.1842649765034007e+22
0.0006039366474268342,1.0295128905447107e+18,-2.7323782728269774e+24,1294.9903938312843,3.1704313375611444e+22
0.0006139366474268342,9.875580579181222e+17,-2.743696919621216e+24,1303.8292949856836,3.157912938184999e+22
0.0006239366474268342,9.481008606059297e+17,-2.7543365442775996e+24,1312.5915481810605,3.1467938538313965e+22
0.0006339366474268342,9.109716767586113e+17,-2.764179992767066e+24,1321.2684496406762,3.136909402060266e+22
0.0006439366474268343,8.759929970172296e+17,-2.773260691414851e+24,1329.8622326271743,3.128238931776877e+22
0.0006539366474268343,8.430032878878863e+17,-2.781606340492908e+24,1338.3748911742723,3.120759231215767e+22
0.0006639366474268343,8.118555363779028e+17,-2.789241596174758e+24,1346.8083181824202,3.11444707359309e+22
0.0006739366474268343,7.824157399553664e+17,-2.7961886144119814e+24,1355.1643243079066,3.1092794863501145e+22
0.0006839366474268344,7.545615741352014e+17,-2.8024673211563527e+24,1363.4446458682946,3.105233765195923e+22
