t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-10,212.77215177125584,-71619758582.22043,300.05669362554266,8178370740524.164
2e-10,632.2705127022332,-154148760534.39566,300.08706721600225,16111733520602.879
3e-10,1252.3095015847734,-246979772983.67413,300.11144455300627,23798970335424.35
4e-10,2066.8718107350737,-349663928613.969,300.13314893825157,31247882918799.547
5e-10,3070.1496121108403,-461781539203.3861,300.15340975215,38467219564334.12
6e-10,4256.558443241091,-582935697186.639,300.17283666800034,45465987525190.555
7e-10,5620.740662442956,-712749662308.5109,300.1917846461728,52253175937778.03
7.999999999999999e-10,7157.564059099888,-850865384707.378,300.2104830665447,58837625582545.08
8.999999999999999e-10,8862.117975117222,-996942471670.4672,300.2290917049038,65227962793108.375
9.999999999999999e-10,10729.7080869156,-1150657361362.002,300.2477284697293,71432565250215.12
1.1e-09,12755.850466262284,-1311702608523.3074,300.26648452397257,77459545099208.73
1.2e-09,14936.265276483686,-1479786239510.4705,300.2854331449932,83316742093927.84
1.3e-09,17266.870320290363,-1654631155835.6235,300.3046352170125,89011722809925.84
1.4000000000000001e-09,19743.774575205884,-1835974575281.2815,300.32414279463376,94551783645153.25
1.5000000000000002e-09,22363.271804293785,-2023567504466.7078,300.34400150351917,99943956226471.6
1.6000000000000003e-09,25121.83429958328,-2217174239207.408,300.3642522097898,105195014351979.44
1.7000000000000003e-09,28016.10679594774,-2416571890324.8623,300.3849322128966,110311481903695.53
1.8000000000000004e-09,31042.90058009765,-2621549933293.5093,300.4060761183946,115299641353657.64
1.9000000000000005e-09,34199.187810433345,-2831909780530.914,300.4277164899899,120165542607117.12
2.0000000000000005e-09,37482.096057325674,-3047464375385.741,300.4498843458596,124915012005912.55
2.1000000000000006e-09,40888.90306905884,-3268037807031.821,300.47260954287,129553661368675.72
2.2000000000000007e-09,44417.03176560443,-3493464945576.2373,300.4959210786488,134086896981442.12
2.3000000000000007e-09,48064.0454602193,-3723591096757.3276,300.5198473324941,138519928478151.27
2.400000000000001e-09,51827.643307318984,-3958271675659.18,300.54441626009356,142857777569007.62
2.500000000000001e-09,55705.65597399618,-4197371898908.522,300.5696555529075,147105286588039.25
2.600000000000001e-09,59696.0415318099,-4440766494854.1455,300.5955927702077,151267126840972.38
2.700000000000001e-09,63796.88156497639,-4688339431259.211,300.62225544972927,155347806741770.97
2.800000000000001e-09,68006.37749078745,-4939983660065.764,300.6496712014363,159351679731577.12
2.900000000000001e-09,72322.84708791743,-5195600878818.591,300.67786778783875,163282951977834.62
