t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-08,0.007457585275363808,-4652.184744320554,300.5060869854809,2833522.568824424
2e-08,0.007457585275363808,-4742.918624741258,301.2552076052538,2833522.568824424
3.0000000000000004e-08,0.007457585275363808,-4856.5233557585,302.1793678719879,2833522.568824424
4e-08,0.007457585275363808,-4989.727202095334,303.243482312728,2833522.568824424
5e-08,0.007457585275363808,-5140.710713408024,304.4250328743362,2833522.568824424
6e-08,0.007457585275363808,-5308.377074688861,305.7078776435508,2833522.568824424
6.999999999999999e-08,0.007457585275363808,-5492.047344219021,307.07965304662224,2833522.568824424
7.999999999999999e-08,0.007457585275363808,-5691.307549351242,308.53046347702497,2833522.568824424
8.999999999999999e-08,0.007457585275363808,-5905.922408800274,310.05213746350785,2833522.568824424
9.999999999999998e-08,0.007457585275363808,-6135.782441984118,311.6377688459688,2833522.568824424
1.0999999999999998e-07,0.007457585275363808,-6380.869466946915,313.2814156865731,2833522.568824424
1.2e-07,0.007457585275363808,-6641.232971137078,314.9778929802571,2833522.568824424
1.3e-07,0.007457585275363808,-6916.973277910068,316.72262436762117,2833522.568824424
1.4e-07,0.007457585275363808,-7208.229154972123,318.5115326783779,2833522.568824424
1.5000000000000002e-07,0.007457585275363808,-7515.168436041484,320.34095699867476,2833522.568824424
1.6000000000000003e-07,0.007457585275363808,-7837.980752008244,322.20758842984657,2833522.568824424
1.7000000000000004e-07,0.007457585275363808,-8176.871779905354,324.10841937313614,2833522.568824424
1.8000000000000005e-07,0.007457585275363808,-8532.058610790873,326.0407028286525,2833522.568824424
1.9000000000000006e-07,0.007457585275363808,-8903.7659607593,328.00191925758145,2833522.568824424
2.0000000000000007e-07,0.007457585275363808,-9292.223030188397,329.9897492573012,2833522.568824424
2.1000000000000008e-07,0.007457585275363808,-9697.660870798332,332.0020507738852,2833522.568824424
2.200000000000001e-07,0.007457585275363808,-10120.310157575926,334.03683990565963,2833522.568824424
2.300000000000001e-07,0.007457585275363808,-10560.3992888903,336.0922745843501,2833522.568824424
2.400000000000001e-07,0.007457585275363808,-11018.152756853659,338.1666405880923,2833522.568824424
2.500000000000001e-07,0.007457585275363808,-11493.789743526873,340.2583394634013,2833522.568824424
2.600000000000001e-07,0.007457585275363808,-11987.522908494122,342.3658780244469,2833522.568824424
2.700000000000001e-07,0.007457585275363808,-12499.557340690211,344.4878591667259,2833522.568824424
2.800000000000001e-07,0.007457585275363808,-13030.08965287273,346.6229737846152,2833522.568824424
2.9000000000000014e-07,0.007457585275363808,-13579.307201299282,348.7699936227071,2833522.568824424
3.0000000000000015e-07,0.007457585275363808,-14147.387416346266,350.92776492231235,2833522.568824424
3.1000000000000016e-07,0.007457585275363808,-14734.497232248179,353.0952027492869,2833522.568824424
3.2000000000000017e-07,0.007457585275363808,-15340.792606027806,355.2712859090005,2833522.568824424
3.300000000000002e-07,0.007457585275363808,-15966.418117163215,357.45505237000003,2833522.568824424
3.400000000000002e-07,0.007457585275363808,-16611.506640698542,359.6455951306159,2833522.568824424
3.500000000000002e-07,0.007457585275363808,-17276.17908742352,361.8420584730662,2833522.568824424
