t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-06,1.6294391106490715,-309969.19396739575,300.9654223156538,6118534.184899386
2.05e-06,1.6294391106490715,-322203.8212989754,302.4838438643137,6118534.184899386
3.1525e-06,1.6294391106490715,-338768.115708126,304.4731345718102,6118534.184899386
4.310125e-06,1.6294391106490715,-359853.3068715311,306.9041430635378,6118534.184899386
5.52563125e-06,1.6294391106490715,-385905.45842834865,309.7671866580112,6118534.184899386
6.8019128125e-06,1.6294391106490715,-417568.8962303992,313.0621090525199,6118534.184899386
8.142008453125e-06,1.6294391106490715,-455666.63216527604,316.7930491691852,6118534.184899386
9.54910887578125e-06,1.6294391106490715,-501242.1264457437,320.9694069045885,6118534.184899386
1.1026564319570314e-05,1.6294391106490715,-555561.6657481632,325.6024350783982,6118534.184899386
1.2577892535548829e-05,1.6294391106490715,-620146.3569463834,330.7047206479165,6118534.184899386
1.4206787162326272e-05,1.6294391106490715,-696811.0140669439,336.2899158367596,6118534.184899386
1.5917126520442588e-05,1.6294391106490715,-787705.7242373986,342.3723736184695,6118534.184899386
1.771298284646472e-05,1.6294391106490715,-895361.0941733463,348.9668464344345,6118534.184899386
1.9598631988787957e-05,1.6294391106490715,-1022735.992791732,356.0882279977663,6118534.184899386
2.1578563588227356e-05,1.6294391106490715,-1173266.1306842584,363.7513217515186,6118534.184899386
2.3657491767638723e-05,1.6294391106490715,-1350911.3249708496,371.9706257291382,6118534.184899386
2.584036635602066e-05,1.6294391106490715,-1560198.773664635,380.76012775464375,6118534.184899386
2.8132384673821694e-05,1.6294391106490715,-1806259.1585251114,390.13310768156794,6118534.184899386
3.053900390751278e-05,1.6294391106490715,-2094851.9754623005,400.10194525087815,6118534.184899386
3.306595410288842e-05,1.6294391106490715,-2432376.2307775845,410.6779334823338,6118534.184899386
3.571925180803284e-05,762356182.3209008,-252462796213067.6,421.87109849746133,118346818920378.94
3.850521439843448e-05,3916436421.7746296,-1022635080625604.6,433.69002742405075,401393361190332.94
4.143047511835621e-05,15490903546.072828,-3618696916144064.5,446.1417066250314,1208211979947853.8
4.4501998874274025e-05,56624250724.759895,-1.2358382255263594e+16,459.231372973489,3525736604883171.0
4.772709881798773e-05,200216070618.8022,-4.140225798816778e+16,472.9623812854855,1.0122195865293376e+16
5.111345375888712e-05,693091214609.9441,-1.3626615070779766e+17,487.3360913333403,2.863092805624177e+16
5.4669126446831475e-05,2353340249347.296,-4.398279588212704e+17,502.35177809263615,7.966351070085406e+16
5.8402582769173055e-05,7828137477729.479,-1.3889076339066143e+18,518.0065690157766,2.175839744320885e+17
6.232271190763171e-05,25457942301095.79,-4.280641723411967e+18,534.2954121562295,5.820973535709719e+17
6.64388475030133e-05,80770613526452.3,-1.284758317280728e+19,551.2110788691444,1.522267435784005e+18
7.076078987816397e-05,249409281040144.0,-3.745202610989598e+19,568.7442045626235,3.882089327967881e+18
7.529882937207217e-05,746964111056670.5,-1.0559580677393056e+20,586.8833705471034,9.61600895950844e+18
8.006377084067578e-05,2155034780003835.0,-2.8536514422911533e+20,605.6152294089991,2.2934948318814925e+19
8.506695938270958e-05,5904225828020483.0,-7.247003716807214e+20,624.9246755059361,5.16745484357841e+19
9.032030735184505e-05,1.5007336539400756e+16,-1.6747878580263883e+21,644.795061140212,1.0661865281599203e+20
9.583632271943731e-05,3.46465962814278e+16,-3.4287127326762216e+21,665.208457721568,1.963530255252492e+20
0.00010162813885540918,7.241188454921237e+16,-6.233539727364034e+21,686.1459598004562,3.238995300959501e+20
0.00010770954579817965,1.38876181622566e+17,-1.0331612663542744e+22,707.5880282750039,4.916885845961281e+20
0.00011409502308808864,2.4885906739857197e+17,-1.6041294472672499e+22,729.5148674014778,7.06286091135041e+20
0.00012079977424249307,4.228855747985729e+17,-2.375221465921166e+22,751.9068285390042,9.779346516026185e+20
0.00012783976295461773,6.881642137214538e+17,-3.3893758394784205e+22,774.7448319196399,1.3194963911301433e+21
0.00013523175110234862,1.0772482971939361e+18,-4.692470591592976e+22,798.0107962525622,1.7463298654074372e+21
0.00014299333865746606,1.6182332949423332e+18,-6.332842265415963e+22,821.6880647520362,2.2749905419526286e+21
0.00015114300559033938,2.3022449652083592e+18,-8.35914686935742e+22,845.7618153307344,2.9163378018872936e+21
0.00015970015586985636,3.02058419172302e+18,-1.0816783442075004e+23,870.2194423239599,3.6546816575074877e+21
0.0001686851636633492,3.543192175775228e+18,-1.3746141632000811e+23,895.0508972925827,4.418054719373463e+21
0.00017811942184651667,3.671680204241657e+18,-1.7182794062820967e+23,920.2489772531667,5.100108478529625e+21
0.00018802539293884252,3.429887027149431e+18,-2.115533468893803e+23,945.809550128967,5.655145128041922e+21
0.00019842666258578466,3.006280466687562e+18,-2.5684764008504605e+23,971.7317092882248,6.128870709487762e+21
0.0002093479957150739,2.569617082206898e+18,-3.078718957203754e+23,998.0178516714312,6.591092592538388e+21
0.0002208153955008276,2.1940630880947566e+18,-3.647243566245435e+23,1024.6736770920763,7.084396805530367e+21
0.000232856165275869,1.8884299679452475e+18,-4.27398398354879e+23,1051.7081096638049,7.621692469311191e+21
0.0002454989735396625,1.6395439707955569e+18,-4.957759262166084e+23,1079.1331457599529,8.201435898953871e+21
0.0002587739222166456,1.4339948378764068e+18,-5.677470102590359e+23,1106.6615714600905,8.79450421765867e+21
0.0002727126183274779,1.2617645936038687e+18,-6.431189647296387e+23,1134.3295905260106,9.403746285632975e+21
0.00028734824924385184,1.115633915998219e+18,-7.225190538743182e+23,1162.2868608342158,1.0042496351273417e+22
0.00030271566170604445,9.904082154573664e+17,-8.05941993504463e+23,1190.5966359960928,1.0716470867907265e+22
0.0003188514447913467,8.822508537657252e+17,-8.932130931820126e+23,1219.3016247628063,1.1431446357515562e+22
0.00033579401703091405,7.882423610925065e+17,-9.840601426997393e+23,1248.4350320704073,1.2194623285043766e+22
0.0003535837178824598,7.061030938638339e+17,-1.0781344073407873e+24,1278.0245099605204,1.3015146852677572e+22
0.0003722629037765828,6.340157517612477e+17,-1.1750193867614652e+24,1308.0940154403145,1.390442427288818e+22
0.00039187604896541195,5.7050761297199635e+17,-1.2742370504392004e+24,1338.6648217804793,1.4876381678325704e+22
0.00041187604896541195,5.1583386903886336e+17,-1.3724169171723973e+24,1368.8855894263247,1.5916247690633617e+22
0.00043187604896541195,4.6926450977215546e+17,-1.467343085929347e+24,1398.2294897745232,1.7014230404117354e+22
0.00045187604896541195,4.29234811987988e+17,-1.5588256327841108e+24,1426.762380386313,1.8178300660744484e+22
0.00047187604896541195,3.9453751672576794e+17,-1.6466760254200802e+24,1454.5417018103287,1.9415025969885037e+22
0.0004918760489654119,3.642361530326784e+17,-1.730760931174321e+24,1481.6179587099828,2.073024063724365e+22
0.000511876048965412,3.375953461926705e+17,-1.8110030324975002e+24,1508.035874774446,2.2129116172193672e+22
0.000531876048965412,3.140304105162257e+17,-1.8873724459017978e+24,1533.835305418543,2.361614714954116e+22
0.0005518760489654121,2.930711171332682e+17,-1.9598772268308292e+24,1559.0519688514871,2.5195138604482563e+22
0.0005718760489654122,2.7433535008370634e+17,-2.028554792312614e+24,1583.7180388059942,2.6869207465787367e+22
0.0005918760489654122,2.5750967203296563e+17,-2.093464577541189e+24,1607.8626303102715,2.86407963681165e+22
0.0006118760489654123,2.423347827484072e+17,-2.1546818796519044e+24,1631.512201639059,3.051169614397302e+22
0.0006318760489654123,2.2859449566272173e+17,-2.2122927666465978e+24,1654.6908897757608,3.2483073780151436e+22
0.0006518760489654124,2.1610728178579046e+17,-2.2663899264017922e+24,1677.4207925602147,3.4555503475984846e+22
0.0006718760489654124,2.04719712841526e+17,-2.3170693427570954e+24,1699.7222076682363,3.672899918839236e+22
0.0006918760489654125,1.9430132684888422e+17,-2.3644276979388538e+24,1721.6138363297355,3.900304762026263e+22
0.0007118760489654125,1.8474057105407638e+17,-2.4085604099927474e+24,1743.1129580127485,4.137664102270944e+22
0.0007318760489654126,1.759415691910535e+17,-2.4495602207316085e+24,1764.2355810257836,4.384830947092221e+22
0.0007518760489654126,1.678215253676582e+17,-2.48751625491016e+24,1784.9965730116255,4.641615246682078e+22
0.0007718760489654127,1.603086238443504e+17,-2.5225134758426597e+24,1805.409774546007,4.9077869843056454e+22
0.0007918760489654127,1.5334031816398288e+17,-2.554632467153551e+24,1825.4880984593858,5.18307920106234e+22
0.0008118760489654128,1.468619282614682e+17,-2.583949475201564e+24,1845.2436170298508,5.4671909621343445e+22
0.0008318760489654128,1.4082548290161027e+17,-2.610536652113244e+24,1864.6876388206224,5.759790271867108e+22
0.0008518760489654129,1.351887588452465e+17,-2.634462445300156e+24,1883.8307766350192,6.060516943520452e+22
0.0008718760489654129,1.2991447878150642e+17,-2.655792085693429e+24,1902.683007819019,6.36898542705607e+22
0.000891876048965413,1.2496967357430282e+17,-2.674588133357055e+24,1921.2537279439548,6.6847890526806995e+22
0.000911876048965413,1.2032496806660205e+17,-2.690911050687461e+24,1939.5517987404694,7.0074968827553724e+22
0.0009318760489654131,1.1595432720286587e+17,-2.7048197529229465e+24,1957.5855910218309,7.336665337431047e+22
0.0009518760489654132,1.1183448866807349e+17,-2.716372157887802e+24,1975.3630232248422,7.67183481348297e+22
0.0009718760489654132,1.0794465342384626e+17,-2.725625674112892e+24,1992.8915961052323,8.01253377776583e+22
0.0009918760489654131,1.0426618485020491e+17,-2.732637638228177e+24,2010.1784240480654,8.358281270687181e+22
0.0010118760489654132,1.007823494366813e+17,-2.7374656896266075e+24,2027.2302633897339,8.708589324677902e+22
0.0010318760489654133,9.747809255384888e+16,-2.740168079039795e+24,2044.0535380941822,9.062965290838237e+22
0.0010518760489654133,9.433984393871885e+16,-2.740803910366167e+24,2060.6543630803494,9.420914065039082e+22
0.0010718760489654134,9.135534845696208e+16,-2.7394333174566443e+24,2077.0385654591887,9.781940205685018e+22
0.0010918760489654134,8.851351845475192e+16,-2.736117579363278e+24,2093.2117039055584,1.0145549936504627e+23
0.0011118760489654135,8.58043046207577e+16,-2.73091917884979e+24,2109.1790863620954,1.0511253029029126e+23
0.0011318760489654135,8.321858277395534e+16,-2.723901809819769e+24,2124.9457862479703,1.0878564560775438e+23
0.0011518760489654136,8.074805439839437e+16,-2.7151303398099986e+24,2140.5166573246097,1.124700654650501e+23
0.0011718760489654136,7.838515907982834e+16,-2.704670733889931e+24,2155.896347352466,1.1616109441236709e+23
0.0011918760489654137,7.612299727525747e+16,-2.692589946267246e+24,2171.0893106573803,1.1985413514913496e+23
0.0012118760489654137,7.395526207605194e+16,-2.678955785678143e+24,2186.099819711538,1.2354470099733622e+23
0.0012318760489654138,7.187617881718863e+16,-2.6638367602892005e+24,2200.931975822254,1.2722842712141273e+23
0.0012518760489654138,6.988045154620945e+16,-2.647301907396719e+24,2215.589719011603,1.309010805232312e+23
0.0012718760489654139,6.796321550136049e+16,-2.62942061271249e+24,2230.076837160858,1.3455856884770076e+23
0.001291876048965414,6.611999486342855e+16,-2.6102624235019493e+24,2244.3969744858864,1.3819694804049529e+23
0.001311876048965414,6.4346665143640136e+16,-2.5898968593112274e+24,2258.5536394026767,1.4181242890391368e+23
0.001331876048965414,6.263941965351397e+16,-2.5683932235021736e+24,2272.550211836096,1.4540138260039094e+23
0.001351876048965414,6.099473957410893e+16,-2.54582041832053e+24,2286.3899500196176,1.4896034515563958e+23
0.0013718760489654141,5.940936720359987e+16,-2.5222467657598154e+24,2300.0759968289135,1.5248602101492768e+23
0.0013918760489654142,5.788028201510814e+16,-2.4977398360593746e+24,2313.6113856880834,1.5597528570684213e+23
0.0014118760489654142,5.6404679202518664e+16,-2.4723662852902126e+24,2326.9990460834665,1.5942518766901237e+23
0.0014318760489654143,5.497995043169647e+16,-2.446191703139247e+24,2340.2418087166716,1.6283294928990194e+23
0.0014518760489654144,5.360366654896097e+16,-2.419280471700272e+24,2353.3424103254943,1.661959672199837e+23
0.0014718760489654144,5.2273562028652424e+16,-2.3916956358167167e+24,2366.303498198722,1.695118120044801e+23
0.0014918760489654145,5.098752096774155e+16,-2.3634987852950897e+24,2379.1276344084363,1.7277822708845332e+23
0.0015118760489654145,4.974356445822911e+16,-2.3347499491159156e+24,2391.817299781346,1.7599312724350155e+23
0.0015318760489654146,4.853983918801916e+16,-2.3055075016078652e+24,2404.3748976286925,1.791545964635882e+23
0.0015518760489654146,4.737460713838468e+16,-2.2758280804178502e+24,2416.8027572526407,1.8226088537580854e+23
0.0015718760489654147,4.624623626144063e+16,-2.245766516001224e+24,2429.103137245433,1.8531040821006734e+23
0.0015918760489654147,4.515319203444294e+16,-2.215375772270044e+24,2441.2782285962867,1.8830173936987545e+23
0.0016118760489654148,4.409402979951352e+16,-2.184706897969293e+24,2453.33015761966,1.91233609644637e+23
0.0016318760489654148,4.3067387807740904e+16,-2.153808988299731e+24,2465.260988717458,1.9410490210206957e+23
0.0016518760489654149,4.207198089571334e+16,-2.1227291562683998e+24,2477.072726986651,1.9691464769766588e+23
0.001671876048965415,4.110659473055871e+16,-2.091512513221944e+24,2488.7673206829077,1.9966202063642694e+23
0.001691876048965415,4.01700805666309e+16,-2.0602021580017388e+24,2500.3466635499462,2.0234633352047075e+23
0.001711876048965415,3.92613504632114e+16,-2.0288391741518023e+24,2511.8125970235797,2.0496703231453017e+23
0.001731876048965415,3.8379372918094856e+16,-1.997462634609191e+24,2523.166912318684,2.0752369115980807e+23
0.0017518760489654151,3.752316887677969e+16,-1.9661096133104587e+24,2534.411352406736,2.1001600706516397e+23
0.0017718760489654152,3.669180808128032e+16,-1.9348152031564e+24,2545.5476138909416,2.1244379450313387e+23
0.0017918760489654152,3.588440572637039e+16,-1.9036125397888574e+24,2556.5773487854594,2.1480697993683525e+23
0.0018118760489654153,3.5100119394429436e+16,-1.8725328306482398e+24,2567.5021662047548,2.1710559630241274e+23
0.0018318760489654153,3.4338146243042052e+16,-1.8416053887968976e+24,2578.323633968647,2.1933977747026928e+23
0.0018518760489654154,3.359772042214007e+16,-1.8108576710118926e+24,2589.0432801282213,2.2150975270695214e+23
0.0018718760489654155,3.2878110699821904e+16,-1.7803153196701664e+24,2599.6625944174193,2.236158411582134e+23
0.0018918760489654155,3.21786182780682e+16,-1.7500022079694938e+24,2610.18302963474,2.2565844637239196e+23
0.0019118760489654156,3.1498574781424e+16,-1.7199404880495985e+24,2620.6060029592204,2.2763805088193805e+23
0.0019318760489654156,3.083734040336962e+16,-1.690150641599051e+24,2630.9328972045223,2.2955521085955765e+23
0.0019518760489654157,3.019430219657504e+16,-1.6606515325553498e+24,2641.1650620147307,2.3141055086415586e+23
0.0019718760489654155,2.9568872494544864e+16,-1.6314604615269807e+24,2651.303815005204,2.3320475869042903e+23
0.0019918760489654156,2.896048745333783e+16,-1.6025932215880682e+24,2661.350442851581,2.3493858033468207e+23
0.0020118760489654156,2.836860570309654e+16,-1.5740641551175802e+24,2671.306202329874,2.3661281508817748e+23
0.0020318760489654157,2.7792707100065736e+16,-1.5458862113763222e+24,2681.172321310337,2.3822831076805923e+23
0.0020518760489654157,2.7232291570626256e+16,-1.5180710045359723e+24,2690.9499997076737,2.397859590946875e+23
0.0020718760489654158,2.6686878039633412e+16,-1.49062887189499e+24,2700.6404103899486,2.4128669122303486e+23
0.002091876048965416,2.615600343603497e+16,-1.4635689320364812e+24,2710.244700048409,2.4273147343460404e+23
0.002111876048965416,2.563922176936354e+16,-1.4368991427028515e+24,2719.7639900303257,2.4412130299524215e+23
0.002131876048965416,2.5136103271260624e+16,-1.4106263581814004e+24,2729.199377136778,2.4545720418314236e+23
0.002151876048965416,2.4646233596692296e+16,-1.38475638601367e+24,2738.5519343872243,2.4674022449027024e+23
0.002171876048965416,2.41692130799815e+16,-1.3592940428595713e+24,2747.8227117525676,2.4797143099950066e+23
0.002191876048965416,2.3704656041195164e+16,-1.3342432093647818e+24,2757.012736858332,2.4915190693880284e+23
0.002211876048965416,2.3252190138807452e+16,-1.3096068838967908e+24,2766.1230156594524,2.5028274841293402e+23
0.002231876048965416,2.2811455764903228e+16,-1.2853872350311207e+24,2775.1545330881195,2.513650613123037e+23
0.0022518760489654162,2.2382105479504772e+16,-1.261585652684693e+24,2784.1082536759927,2.5239995839788575e+23
0.0022718760489654163,2.196380348088909e+16,-1.2382027978079857e+24,2792.985122152065,2.5338855656037806e+23
0.0022918760489654163,2.1556225109028524e+16,-1.2152386505616296e+24,2801.7860640173476,2.5433197425114462e+23
0.0023118760489654164,2.115905637952793e+16,-1.1926925569160988e+24,2810.511986097497,2.5523132908191788e+23
0.0023318760489654164,2.0771993545650784e+16,-1.1705632736256614e+24,2819.163777074447,2.5608773558971117e+23
0.0023518760489654165,2.0394742686229484e+16,-1.1488490115391941e+24,2827.7423079980226,2.5690230316290477e+23
0.0023718760489654165,2.002701931744024e+16,-1.1275474772212665e+24,2836.248432778496,2.5767613412411592e+23
0.0023918760489654166,1.966854802659158e+16,-1.1066559128668514e+24,2844.6829886609394,2.5841032196503653e+23
0.0024118760489654167,1.931906212623267e+16,-1.0861711345022177e+24,2853.046796682244,2.591059497282149e+23
0.0024318760489654167,1.897830332702901e+16,-1.0660895684729037e+24,2861.3406621115746,2.597640885304309e+23
0.0024518760489654168,1.864602142798521e+16,-1.0464072862273767e+24,2869.5653748750196,2.6038579622216995e+23
0.002471876048965417,1.8321974022714084e+16,-1.0271200374118421e+24,2877.7217099651366,2.6097211617752502e+23
0.002491876048965417,1.8005926220562376e+16,-1.0082232812978832e+24,2885.8104278360624,2.6152407620875174e+23
0.002511876048965417,1.7697650381503528e+16,-9.89712216570131e+23,2893.832274784839,2.620426875996391e+23
0.002531876048965417,1.739692586380184e+16,-9.715818095059841e+23,2901.787983319527,2.6252894425181356e+23
0.002551876048965417,1.710353878353683e+16,-9.538268205836614e+23,2909.678272514712,2.629838219381113e+23
0.002571876048965417,1.6817281785154608e+16,-9.364418295585033e+23,2917.503848354915,2.6340827765718126e+23
0.002591876048965417,1.6537953822283856e+16,-9.194212590504891e+23,2925.2654040664324,2.6380324908351698e+23
0.002611876048965417,1.6265359948120926e+16,-9.027593966885449e+23,2932.9636204381018,2.641696541072592e+23
0.0026318760489654172,1.5999311114746062e+16,-8.864504158592511e+23,2940.5991661314347,2.6450839045814198e+23
0.0026518760489654173,1.5739623980788994e+16,-8.704883951091943e+23,2948.1726979805762,2.6482033540814834e+23
0.0026718760489654173,1.5486120726911642e+16,-8.548673362514129e+23,2955.684861282496,2.6510634554754504e+23
0.0026918760489654174,1.5238628878619856e+16,-8.395811812272166e+23,2963.136290077817,2.6536725662912996e+23
0.0027118760489654174,1.4996981135959736e+16,-8.246238277751293e+23,2970.5276074226545,2.6560388347570523e+23
0.0027318760489654175,1.4761015209690376e+16,-8.099891439588641e+23,2977.859425651823,2.6581701994596335e+23
0.0027518760489654175,1.45305736635585e+16,-7.956709816061309e+23,2985.132346633765,2.660074389541281e+23
0.0027718760489654176,1.430550376233516e+16,-7.816631887096919e+23,2992.3469620175124,2.661758925389607e+23
0.0027918760489654177,1.4085657325297708e+16,-7.679596208415086e+23,2999.5038534720047,2.6632311197782478e+23
0.0028118760489654177,1.3870890584872318e+16,-7.54554151629986e+23,3006.603592918052,2.6644980794182176e+23
0.0028318760489654178,1.3661064050169448e+16,-7.414406823494196e+23,3013.646742753231,2.6655667068809418e+23
0.002851876048965418,1.345604237517178e+16,-7.286131506695728e+23,3020.633856069977,2.66644370285688e+23
0.002871876048965418,1.3255694231348776e+16,-7.160655386121499e+23,3027.5654768671334,2.6671355687149207e+23
0.002891876048965418,1.305989218449199e+16,-7.03791879759537e+23,3034.44214025521,2.667648609330001e+23
0.002911876048965418,1.286851257558062e+16,-6.917862657597976e+23,3041.264372655568,2.667988936148285e+23
0.002931876048965418,1.268143540550046e+16,-6.800428521704116e+23,3048.032691993778,2.6681624704610103e+23
0.002951876048965418,1.2498544223453002e+16,-6.6855586368171e+23,3054.7476078873437,2.668174946859992e+23
0.002971876048965418,1.2319726018902938e+16,-6.57319598759394e+23,3061.4096218280115,2.6680319168495e+23
0.002991876048965418,1.21447546726888e+16,-6.46333897121444e+23,3068.034837462491,2.6678029606350326e+23
0.0030118760489654182,1.1973648568867118e+16,-6.355873663705062e+23,3074.6075938781632,2.667426361969344e+23
0.0030318760489654183,1.180630240626615e+16,-6.250744694217505e+23,3081.128438117669,2.6669072029928325e+23
0.0030518760489654183,1.1642615095846352e+16,-6.147898463620648e+23,3087.5978807343395,2.6662504728839887e+23
