x,t=9.00e+03s,t=2.16e+04s,t=8.28e+04s,t=1.09e+05s,t=1.72e+05s,t=2.44e+05s,t=3.60e+05s
0.000000000000000000e+00,2.063388978254155895e+26,2.063744324340101678e+26,2.064056582625223641e+26,2.064097817232186943e+26,2.064159693958729766e+26,9.864504649981973400e+25,9.051749363782891767e+25
5.050505050505050673e-10,2.063153404268328414e+26,2.063593613110488768e+26,2.063980306823634906e+26,2.064031358375519418e+26,2.064107960906035610e+26,9.874525283551661270e+25,9.059474678008574044e+25
1.010101010101010135e-09,2.062917414713602262e+26,2.063442731590429817e+26,2.063903987350495036e+26,2.063964866357949193e+26,2.064056207751436281e+26,9.884499255744989459e+25,9.067173071603272205e+25
1.515151515151515202e-09,2.062681008459106710e+26,2.063291679483145675e+26,2.063827624167200867e+26,2.063898341153932206e+26,2.064004434482964969e+26,9.894427008627943718e+25,9.074844721795365438e+25
2.020202020202020269e-09,2.062444184431372062e+26,2.063140456507284719e+26,2.063751217237208753e+26,2.063831782739287449e+26,2.063952641089296019e+26,9.904308955125465933e+25,9.082489794830896757e+25
2.525252525252525130e-09,2.062206941553353492e+26,2.062989062380886125e+26,2.063674766523924543e+26,2.063765191089804362e+26,2.063900827559093121e+26,9.914145503080414372e+25,9.090108455557552008e+25
3.030303030303030404e-09,2.061969278744413865e+26,2.062837496821402548e+26,2.063598271990725910e+26,2.063698566181257268e+26,2.063848993881015156e+26,9.923937055331453774e+25,9.097700867439316009e+25
3.535353535353535678e-09,2.061731194920311021e+26,2.062685759545669544e+26,2.063521733600946203e+26,2.063631907989390942e+26,2.063797140043715852e+26,9.933684009789406126e+25,9.105267192570828058e+25
4.040404040404040539e-09,2.061492688993181282e+26,2.062533850269924808e+26,2.063445151317874790e+26,2.063565216489932632e+26,2.063745266035838971e+26,9.943386759512302637e+25,9.112807591691601701e+25
4.545454545454545399e-09,2.061253759871517809e+26,2.062381768709794777e+26,2.063368525104766335e+26,2.063498491658583132e+26,2.063693371846014533e+26,9.953045692779049304e+25,9.120322224200115668e+25
