t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-06,362029176.67963606,-68817365617784.34,300.50203171439387,1375679562984562.0
2.05e-06,1453959784.737896,-596107242374394.1,301.291570435886,3872483901846816.5
3.1525e-06,3275577333.2460785,-1105113257265685.8,302.32585647349185,5992628755038581.0
4.310125e-06,5984585921.28624,-1676227570388888.2,303.58969660532483,8220568130096275.0
5.52563125e-06,9865619036.240362,-2379065348457032.5,305.07800116916536,1.0805689097889506e+16
6.8019128125e-06,15371877964.36319,-3298012549248424.5,306.79062369091395,1.3993574274195376e+16
8.142008453125e-06,23211336144.122498,-4553050982688243.0,308.73024877372524,1.809370170782444e+16
9.54910887578125e-06,34497156997.97909,-6327051359949492.0,310.90134161158363,2.3538896903817584e+16
1.1026564319570314e-05,51005650755.996124,-8909094264466800.0,313.3095504054048,3.096361059246669e+16
1.2577892535548829e-05,75622473153.289,-1.2767614383580924e+16,315.9613284620254,4.132248019349594e+16
1.4206787162326272e-05,113125620885.84491,-1.8677238970318096e+16,318.8636725135107,5.607842755206639e+16
1.5917126520442588e-05,171581076552.43213,-2.7942594805541196e+16,322.0239262717904,7.750715932731997e+16
1.771298284646472e-05,264869507788.57092,-4.279894704520044e+16,325.44962205679235,1.0919633629156501e+17
1.9598631988787957e-05,417330029557.6747,-6.7138754316232776e+16,329.1483451804238,1.568719452574914e+17
2.1578563588227356e-05,672382816627.2906,-1.0783124816278213e+17,333.1257579738282,2.2975534086448115e+17
2.3657491767638723e-05,1108883229836.0625,-1.7720903652881878e+17,337.3907112370639,3.4291177759242995e+17
2.584036635602066e-05,1872356172101.9324,-2.9768358790707e+17,341.95041127725204,5.211533929341729e+17
2.8132384673821694e-05,3235394145219.3145,-5.1047648111470816e+17,346.8114745687598,8.057026497445743e+17
3.053900390751278e-05,5715592716044.633,-8.922239561504317e+17,351.98001737131636,1.265571276469296e+18
3.306595410288842e-05,10307757671601.297,-1.5867282798513354e+18,357.4615658647299,2.017042174842942e+18
3.571925180803284e-05,18944219090884.562,-2.865913014924663e+18,363.26096165637875,3.257070982962135e+18
3.850521439843448e-05,35411786238076.89,-5.247013084795097e+18,369.3822714680354,5.320465248219398e+18
4.143047511835621e-05,67185212352944.67,-9.718292712933904e+18,375.8287029256308,8.777893685667952e+18
4.4501998874274025e-05,129096403918308.94,-1.8172020615235391e+19,382.60252792520663,1.4602409458063006e+19
4.772709881798773e-05,250668957512379.3,-3.4231211431176372e+19,389.70501518571393,2.445063872062202e+19
5.111345375888712e-05,490709417225956.3,-6.481084714802047e+19,397.1363737634363,4.112977113900058e+19
5.4669126446831475e-05,966036839038686.9,-1.230071377439584e+20,404.8957094210835,6.9350070110366745e+19
5.8402582769173055e-05,1906912084924372.8,-2.332386012463091e+20,412.98099580423013,1.1686371453584033e+20
6.232271190763171e-05,3759823421372546.0,-4.39682554647897e+20,421.3890623715977,1.9595384821490988e+20
6.64388475030133e-05,7363842105856970.0,-8.178015866470133e+20,430.1156009452491,3.246719360120925e+20
7.076078987816397e-05,1.4214486123039506e+16,-1.4843040506117887e+21,439.1668073310382,5.2607832995909134e+20
7.529882937207217e-05,2.6750908672927332e+16,-2.58811384687003e+21,448.5251595846553,8.216530441811282e+20
8.006377084067578e-05,4.853566346206423e+16,-4.2734660342536963e+21,458.1826583366035,1.22063363277865e+21
8.506695938270958e-05,8.42714421009182e+16,-6.63964643205515e+21,468.1309942275014,1.715441325331135e+21
9.032030735184505e-05,1.3986746460342373e+17,-9.750794764456974e+21,478.3610905721895,2.2924308673546627e+21
9.583632271943731e-05,2.2279419568882093e+17,-1.3685892733607946e+22,488.86321760808363,2.946533087275499e+21
0.00010162813885540918,3.426618038311856e+17,-1.8564497176887772e+22,499.62715722574444,3.6842865927905545e+21
0.00010770954579817965,5.118164374052165e+17,-2.453431620595716e+22,510.64238922258573,4.518422617470696e+21
0.00011409502308808864,7.458539398655638e+17,-3.1754360950483854e+22,521.898293413666,5.463648235366999e+21
0.00012079977424249307,1.0637812770887562e+18,-4.03640680674737e+22,533.3645167144211,6.532188714344878e+21
0.00012783976295461773,1.488386553664658e+18,-5.054882860088316e+22,545.0505326574511,7.7423728589332e+21
0.00013523175110234862,2.0456256364230313e+18,-6.247234947139503e+22,556.9472463418658,9.110373086666618e+21
0.00014299333865746606,2.763445399424105e+18,-7.627869758686954e+22,569.0457619243225,1.0656060346641441e+22
0.00015114300559033938,3.670204405883956e+18,-9.20793585562293e+22,581.3381569095841,1.2415160452534715e+22
0.00015970015586985636,4.793474116714495e+18,-1.0994706533190236e+23,593.8177074882683,1.4466260853100628e+22
0.0001686851636633492,6.160179993195365e+18,-1.299212142131413e+23,606.4790610175357,1.6981704447485484e+22
0.00017811942184651667,7.798268540516992e+18,-1.520139378804968e+23,619.3183774962949,2.0324506465982633e+22
0.00018802539293884252,9.73835069595521e+18,-1.761860643047057e+23,632.3334385022164,2.5273150747351487e+22
0.00019802539293884252,1.191542511468378e+19,-2.0128979731021597e+23,645.030180114891,3.327306636115779e+22
0.00020802539293884252,1.4290677420075876e+19,-2.262434597043392e+23,657.3168474318785,4.837972034594004e+22
0.00021802539293884252,1.6739729327747125e+19,-2.4825892516529086e+23,669.2232953677697,8.496817403522765e+22
0.00022802539293884251,1.807672450033794e+19,-2.685809974738681e+23,680.7771470710258,1.4468182558870832e+23
0.00023754920246265204,1.823171422705532e+19,-2.9885289787048054e+23,691.4824922366548,1.6971982398526792e+23
0.00024754920246265207,1.8182333843856802e+19,-3.33487906471522e+23,702.4185337772616,1.7638714103520133e+23
0.0002575492024626521,1.8103644401318537e+19,-3.663393661909805e+23,712.954958908298,1.765290517663495e+23
0.0002675492024626521,1.8016989662207855e+19,-3.975836962797401e+23,723.1474015379896,1.7416945783818206e+23
0.00027754920246265215,1.7925100953718964e+19,-4.2785713755067365e+23,733.054075870424,1.7067789977942515e+23
0.0002875492024626522,1.7828139394373409e+19,-4.574861662978233e+23,742.7059790602492,1.6656642972665284e+23
0.0002975492024626522,1.7725617153755853e+19,-4.8663980970870326e+23,752.1258189212292,1.6205840976152382e+23
0.0003075492024626522,1.761671118036982e+19,-5.154048291583047e+23,761.3317965823755,1.572594413655918e+23
0.00031754920246265225,1.7500309781217403e+19,-5.438253240496076e+23,770.3391468378727,1.5221990082188643e+23
0.0003275492024626523,1.7374976876442835e+19,-5.719227864974692e+23,779.1609535173947,1.4696089787360315e+23
0.0003375492024626523,1.7238865269405583e+19,-5.9970641546213654e+23,787.8086482962826,1.4148592058380254e+23
