t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-10,182.9288577766764,-238381388014.1892,300.148777357773,7014611843968.8545
2.0500000000000002e-10,569.3046401491713,-518138855324.581,300.23168491693997,14080389617025.836
3.1525e-10,1180.5989306692209,-840540924263.2008,300.30110285939384,21178234222451.87
4.3101250000000007e-10,2039.7961490211017,-1207519178084.6199,300.3657857844001,28302197770249.6
5.525631250000001e-10,3171.6658161438354,-1621110171719.1677,300.429173566693,35450828292544.24
6.801912812500001e-10,4603.024200938447,-2083419137860.292,300.4931752553727,42625988524642.08
8.142008453125001e-10,6363.020083600357,-2596622841539.2295,300.5591093388305,49832489493129.67
9.549108875781252e-10,8483.461189429123,-3162990204266.0024,300.6280421015388,57078017505768.06
1.1026564319570316e-09,10999.194183507068,-3784916297397.92,300.70094109184276,64373197841830.07
1.2577892535548832e-09,13948.551364801724,-4464969603125.078,300.77875886433924,71731741031508.47
1.4206787162326274e-09,17373.87924040888,-5205954177831.9,300.86248730642103,79170655794032.36
1.591712652044259e-09,21322.167585977175,-6010989499630.08,300.95319928913364,86710531310111.45
1.7712982846464719e-09,25845.802537768035,-6883611921357.202,301.0520856991955,94375903779759.53
1.9598631988787956e-09,31003.474140221562,-7827903054327.653,301.1604923720217,102195733068409.47
2.1578563588227356e-09,36861.278289855385,-8848652295009.377,301.27995994811056,110204027088147.88
2.3578563588227357e-09,43224.80119194275,-9908721115084.035,301.40700871863254,118132717682012.16
2.557856358822736e-09,50032.254071105504,-10997466552303.041,301.541022095847,125942115504500.86
2.757856358822736e-09,57283.567013935,-12115142128179.572,301.68258268817146,133670163244048.69
2.957856358822736e-09,64980.91686876942,-13262542284763.11,301.8322742693787,141352031482433.72
3.1578563588227363e-09,73128.66954029998,-14440974105518.186,301.9906888954436,149020800981702.06
3.3578563588227364e-09,81733.35988456408,-15652240850965.457,302.1584320340208,156708075139581.06
3.5578563588227366e-09,90803.70744957705,-16898636542085.723,302.33612655344206,164444537168648.12
3.757856358822737e-09,100350.6671583192,-18182951103841.47,302.52441597665506,172260465586461.4
3.957856358822737e-09,110387.51487393017,-19508485874571.996,302.723967237502,180186220690695.56
4.157856358822737e-09,120929.96864103136,-20879079581466.984,302.9354730908099,188252713979748.9
4.357856358822737e-09,131996.34728387996,-22299145184173.484,303.1596542775757,196491872022143.84
4.557856358822737e-09,143607.76898707935,-23773718307740.777,303.39726151505204,204937106107263.94
4.757856358822737e-09,155788.39351769595,-25308518334261.227,303.649077360908,213623799148808.7
4.9578563588227375e-09,168565.7129039715,-26910023613337.016,303.91591798667906,222589821786434.53
5.157856358822738e-09,181970.896707082,-28585562701012.613,304.1986348860294,231876090473684.06
5.357856358822738e-09,196039.19955873914,-30343424064537.707,304.4981165364909,241527181596515.2
5.557856358822738e-09,210810.4404499068,-32192987320168.6,304.8152900283798,251592017396950.66
5.757856358822738e-09,226329.5654196295,-34144879832962.133,305.1511226709589,262124641760704.72
5.957856358822738e-09,242647.30790120913,-36211163438631.3,305.50662358318834,273185106870763.38
6.157856358822738e-09,259820.9641524552,-38405557195606.414,305.8828452743477,284840495466424.2
6.3578563588227385e-09,277915.30507456575,-40743703501346.19,306.2808852182218,297166108153805.75
6.557856358822739e-09,297003.65049679484,-43243486688985.54,306.70188742329447,310246851113201.56
