t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-08,3.3462492631469417e-07,-0.8077266927925467,300.07232432896694,128.56871875345186
2.05e-08,3.3462492631469417e-07,-0.810099921800834,300.186024532902,128.56871875345186
3.1525e-08,3.3462492631469417e-07,-0.8132154107593852,300.3349582598437,128.56871875345186
4.3101250000000004e-08,3.3462492631469417e-07,-0.8170334195153632,300.5169328113465,128.56871875345186
5.5256312500000004e-08,3.3462492631469417e-07,-0.8215455830742376,300.73120790260606,128.56871875345186
6.801912812500001e-08,3.3462492631469417e-07,-0.8267596382734076,300.9777537696424,128.56871875345186
8.142008453125001e-08,3.3462492631469417e-07,-0.8326932605812091,301.2569468881629,128.56871875345186
9.549108875781251e-08,3.3462492631469417e-07,-0.8393710893375447,301.56941853130905,128.56871875345186
1.1026564319570314e-07,3.3462492631469417e-07,-0.8468231189540727,301.91596854969396,128.56871875345186
1.2577892535548832e-07,3.3462492631469417e-07,-0.8550837568019076,302.2975107965198,128.56871875345186
1.4206787162326273e-07,3.3462492631469417e-07,-0.8641912366013201,302.71503530650074,128.56871875345186
1.5917126520442587e-07,3.3462492631469417e-07,-0.8741872328031222,303.1695798954959,128.56871875345186
1.7712982846464716e-07,3.3462492631469417e-07,-0.8851165922591108,303.6622072780428,128.56871875345186
1.9598631988787953e-07,3.3462492631469417e-07,-0.8970271343452151,304.19398550327503,128.56871875345186
2.157856358822735e-07,3.3462492631469417e-07,-0.9099694890699392,304.7659704206582,128.56871875345186
2.357856358822735e-07,3.3462492631469417e-07,-0.9234503531221373,305.35542308294754,128.56871875345186
2.557856358822735e-07,3.3462492631469417e-07,-0.9373042913791987,305.95462901471694,128.56871875345186
2.7578563588227355e-07,3.3462492631469417e-07,-0.9515007551990452,306.5619314008104,128.56871875345186
2.9578563588227357e-07,3.3462492631469417e-07,-0.9660125415406372,307.1758787958523,128.56871875345186
3.157856358822736e-07,3.3462492631469417e-07,-0.980815182534823,307.7951914926927,128.56871875345186
3.357856358822736e-07,3.3462492631469417e-07,-0.9958865016388816,308.418736158367,128.56871875345186
3.5578563588227363e-07,3.3462492631469417e-07,-1.011206271545537,309.0455056774404,128.56871875345186
3.7578563588227365e-07,3.3462492631469417e-07,-1.0267559433374358,309.6746027264372,128.56871875345186
3.9578563588227367e-07,3.3462492631469417e-07,-1.0425184282542872,310.3052261631422,128.56871875345186
4.157856358822737e-07,3.3462492631469417e-07,-1.0584779194759095,310.9366596032894,128.56871875345186
4.357856358822737e-07,3.3462492631469417e-07,-1.0746197449478023,311.56826173222044,128.56871875345186
4.5578563588227373e-07,3.3462492631469417e-07,-1.090930244648351,312.19945801463746,128.56871875345186
4.7578563588227375e-07,3.3462492631469417e-07,-1.1073966673321143,312.8297335457711,128.56871875345186
4.957856358822737e-07,3.3462492631469417e-07,-1.1240070829501023,313.4586268448699,128.56871875345186
5.157856358822737e-07,3.3462492631469417e-07,-1.1407503077999168,314.08572443427096,128.56871875345186
5.357856358822738e-07,3.3462492631469417e-07,-1.1576158400937238,314.71065607910595,128.56871875345186
5.557856358822738e-07,3.3462492631469417e-07,-1.1745938041118216,315.3330905869124,128.56871875345186
5.757856358822738e-07,3.3462492631469417e-07,-1.1916749014776098,315.9527320851467,128.56871875345186
5.957856358822738e-07,3.3462492631469417e-07,-1.2088503683747849,316.5693167092343,128.56871875345186
6.157856358822738e-07,3.3462492631469417e-07,-1.2261119377505427,317.18260964536404,128.56871875345186
6.357856358822739e-07,3.3462492631469417e-07,-1.2434518057248471,317.7924024814754,128.56871875345186
6.557856358822739e-07,3.3462492631469417e-07,-1.260862601565797,318.39851082732247,128.56871875345186
6.757856358822739e-07,3.3462492631469417e-07,-1.2783373607033763,319.0007721705366,128.56871875345186
6.957856358822739e-07,3.3462492631469417e-07,-1.2958695003445786,319.5990439405555,128.56871875345186
7.157856358822739e-07,3.3462492631469417e-07,-1.3134527973261698,320.19320175634977,128.56871875345186
7.35785635882274e-07,3.3462492631469417e-07,-1.3310813679013627,320.7831378372554,128.56871875345186
7.55785635882274e-07,3.3462492631469417e-07,-1.3487496492057525,321.3687595590361,128.56871875345186
7.75785635882274e-07,3.3462492631469417e-07,-1.3664523821882204,321.9499881396584,128.56871875345186
7.95785635882274e-07,3.3462492631469417e-07,-1.3841845958259764,322.52675744125884,128.56871875345186
8.15785635882274e-07,3.3462492631469417e-07,-1.4019415924706045,323.09901287647097,128.56871875345186
8.357856358822741e-07,3.3462492631469417e-07,-1.4197189341950125,323.66671040871876,128.56871875345186
8.557856358822741e-07,3.3462492631469417e-07,-1.4375124300304514,324.2298156373162,128.56871875345186
8.757856358822741e-07,3.3462492631469417e-07,-1.4553181239989383,324.7883029592731,128.56871875345186
8.957856358822741e-07,3.3462492631469417e-07,-1.4731322838599334,325.34215480062085,128.56871875345186
