t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-06,6.907847670979321e-09,-0.0013139944566686657,300.9654223156538,0.025938926985819292
2.05e-06,6.907847670979321e-09,-0.0013658584251760302,302.4838438643137,0.025938926985819292
3.1525e-06,6.907847670979321e-09,-0.0014360763419230468,304.4731345718102,0.025938926985819292
4.310125e-06,6.907847670979321e-09,-0.0015254588511318021,306.9041430635378,0.025938926985819292
5.52563125e-06,6.907847670979321e-09,-0.0016358968670020298,309.7671866580112,0.025938926985819292
6.8019128125e-06,6.907847670979321e-09,-0.001770121759668191,313.0621090525199,0.025938926985819292
8.142008453125e-06,6.907847670979321e-09,-0.0019316223695728058,316.7930491691852,0.025938926985819292
9.54910887578125e-06,6.907847670979321e-09,-0.00212482204253253,320.9694069045885,0.025938926985819292
1.1026564319570314e-05,6.907847670979321e-09,-0.002355088710936715,325.6024350783982,0.025938926985819292
1.2577892535548829e-05,6.907847670979321e-09,-0.0026288705188024343,330.7047206479165,0.025938926985819292
1.4206787162326272e-05,6.907847670979321e-09,-0.0029538606679745064,336.2899158367596,0.025938926985819292
1.5917126520442588e-05,6.907847670979321e-09,-0.0033391736208802196,342.3723736184695,0.025938926985819292
1.771298284646472e-05,6.907847670979321e-09,-0.0037955369055038203,348.9668464344345,0.025938926985819292
1.9598631988787957e-05,6.907847670979321e-09,-0.004335493501722564,356.0882279977663,0.025938926985819292
2.1578563588227356e-05,6.907847670979321e-09,-0.004973607775187462,363.7513217515186,0.025938926985819292
2.3657491767638723e-05,6.907847670979321e-09,-0.005726665838381525,371.9706257291382,0.025938926985819292
2.584036635602066e-05,6.907847670979321e-09,-0.006613858995546266,380.76012775464375,0.025938926985819292
2.8132384673821694e-05,6.907847670979321e-09,-0.007656936786758833,390.13310768156794,0.025938926985819292
3.053900390751278e-05,6.907847670979321e-09,-0.008880314366379927,400.10194525087815,0.025938926985819292
3.306595410288842e-05,6.907847670979321e-09,-0.010311117845628872,410.6779334823338,0.025938926985819292
3.571925180803284e-05,6.907847670979321e-09,-0.011979151116962914,421.87109849746133,0.025938926985819292
3.850521439843448e-05,6.907847670979321e-09,-0.013916768844522987,433.69002742405075,0.025938926985819292
4.143047511835621e-05,6.907847670979321e-09,-0.016158642955288755,446.1417066250314,0.025938926985819292
4.4501998874274025e-05,6.907847670979321e-09,-0.018741414177722567,459.231372973489,0.025938926985819292
