t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-10,2.984080804138849e-15,-3.8856390941083985e-06,300.1771104379884,0.00011434443379456905
2.0500000000000002e-10,2.984080804138849e-15,-3.895529714092196e-06,300.27581027017385,0.00011434443379456905
3.1525e-10,2.984080804138849e-15,-3.9038259814504275e-06,300.35845107211645,0.00011434443379456905
4.3101250000000007e-10,2.984080804138849e-15,-3.911568600893072e-06,300.43545496513957,0.00011434443379456905
5.525631250000001e-10,2.984080804138849e-15,-3.91916759513939e-06,300.51091706218,0.00011434443379456905
6.801912812500001e-10,2.984080804138849e-15,-3.926851587509575e-06,300.5871100585672,0.00011434443379456905
8.142008453125001e-10,2.984080804138849e-15,-3.9347795170196945e-06,300.66560359998465,0.00011434443379456905
9.549108875781252e-10,2.984080804138849e-15,-3.943080919652048e-06,300.7476670907407,0.00011434443379456905
1.1026564319570316e-09,2.984080804138849e-15,-3.9518742894698395e-06,300.8344523950873,0.00011434443379456905
1.2577892535548832e-09,2.984080804138849e-15,-3.9612772015482635e-06,300.92709353186996,0.00011434443379456905
1.4206787162326274e-09,2.984080804138849e-15,-3.971412995340125e-06,301.0267713504319,0.00011434443379456905
1.591712652044259e-09,2.984080804138849e-15,-3.982416023297724e-06,301.1347631167133,0.00011434443379456905
1.7712982846464719e-09,2.984080804138849e-15,-3.994436444778654e-06,301.2524866012054,0.00011434443379456905
1.9598631988787956e-09,2.984080804138849e-15,-4.0076451338474324e-06,301.3815440497118,0.00011434443379456905
2.1578563588227356e-09,2.984080804138849e-15,-4.02223910369594e-06,301.5237696352136,0.00011434443379456905
2.3578563588227357e-09,2.984080804138849e-15,-4.037802452992701e-06,301.67502081958077,0.00011434443379456905
2.557856358822736e-09,2.984080804138849e-15,-4.054267351399356e-06,301.834563590912,0.00011434443379456905
2.757856358822736e-09,2.984080804138849e-15,-4.071713530186617e-06,302.0030915847416,0.00011434443379456905
2.957856358822736e-09,2.984080804138849e-15,-4.090222260172519e-06,302.18129983183115,0.00011434443379456905
3.1578563588227363e-09,2.984080804138849e-15,-4.109877373762052e-06,302.3698932304302,0.00011434443379456905
3.3578563588227364e-09,2.984080804138849e-15,-4.130766070952287e-06,302.5695926537402,0.00011434443379456905
3.5578563588227366e-09,2.984080804138849e-15,-4.152979612967585e-06,302.7811396998186,0.00011434443379456905
3.757856358822737e-09,2.984080804138849e-15,-4.17661395445401e-06,303.0053005665234,0.00011434443379456905
3.957856358822737e-09,2.984080804138849e-15,-4.201770345359019e-06,303.24286933412463,0.00011434443379456905
4.157856358822737e-09,2.984080804138849e-15,-4.228555923694026e-06,303.4946708359242,0.00011434443379456905
4.357856358822737e-09,2.984080804138849e-15,-4.257084314749289e-06,303.7615632374724,0.00011434443379456905
4.557856358822737e-09,2.984080804138849e-15,-4.287476248968019e-06,304.04444040750207,0.00011434443379456905
4.757856358822737e-09,2.984080804138849e-15,-4.31986020865297e-06,304.3442341391401,0.00011434443379456905
