t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-10,2.9840808041388494e-18,-3.885639094108402e-09,300.1771104379884,1.1434443379456901e-07
2.0500000000000002e-10,2.9840808041388494e-18,-3.895529714092199e-09,300.27581027017385,1.1434443379456901e-07
3.1525e-10,2.9840808041388494e-18,-3.903825981450431e-09,300.35845107211645,1.1434443379456901e-07
4.3101250000000007e-10,2.9840808041388494e-18,-3.911568600893075e-09,300.43545496513957,1.1434443379456901e-07
5.525631250000001e-10,2.9840808041388494e-18,-3.919167595139392e-09,300.51091706218,1.1434443379456901e-07
6.801912812500001e-10,2.9840808041388494e-18,-3.926851587509579e-09,300.5871100585672,1.1434443379456901e-07
8.142008453125001e-10,2.9840808041388494e-18,-3.934779517019698e-09,300.66560359998465,1.1434443379456901e-07
9.549108875781252e-10,2.9840808041388494e-18,-3.9430809196520506e-09,300.7476670907407,1.1434443379456901e-07
1.1026564319570316e-09,2.9840808041388494e-18,-3.951874289469842e-09,300.8344523950873,1.1434443379456901e-07
1.2577892535548832e-09,2.9840808041388494e-18,-3.961277201548266e-09,300.92709353186996,1.1434443379456901e-07
1.4206787162326274e-09,2.9840808041388494e-18,-3.9714129953401266e-09,301.0267713504319,1.1434443379456901e-07
1.591712652044259e-09,2.9840808041388494e-18,-3.982416023297726e-09,301.1347631167133,1.1434443379456901e-07
1.7712982846464719e-09,2.9840808041388494e-18,-3.9944364447786575e-09,301.2524866012054,1.1434443379456901e-07
1.9598631988787956e-09,2.9840808041388494e-18,-4.007645133847436e-09,301.3815440497118,1.1434443379456901e-07
2.1578563588227356e-09,2.9840808041388494e-18,-4.0222391036959436e-09,301.5237696352136,1.1434443379456901e-07
2.3578563588227357e-09,2.9840808041388494e-18,-4.037802452992704e-09,301.67502081958077,1.1434443379456901e-07
2.557856358822736e-09,2.9840808041388494e-18,-4.054267351399358e-09,301.834563590912,1.1434443379456901e-07
2.757856358822736e-09,2.9840808041388494e-18,-4.071713530186619e-09,302.0030915847416,1.1434443379456901e-07
2.957856358822736e-09,2.9840808041388494e-18,-4.090222260172521e-09,302.18129983183115,1.1434443379456901e-07
3.1578563588227363e-09,2.9840808041388494e-18,-4.109877373762055e-09,302.3698932304302,1.1434443379456901e-07
3.3578563588227364e-09,2.9840808041388494e-18,-4.13076607095229e-09,302.5695926537402,1.1434443379456901e-07
3.5578563588227366e-09,2.9840808041388494e-18,-4.152979612967588e-09,302.7811396998186,1.1434443379456901e-07
3.757856358822737e-09,2.9840808041388494e-18,-4.176613954454013e-09,303.0053005665234,1.1434443379456901e-07
3.957856358822737e-09,2.9840808041388494e-18,-4.201770345359022e-09,303.24286933412463,1.1434443379456901e-07
4.157856358822737e-09,2.9840808041388494e-18,-4.228555923694029e-09,303.4946708359242,1.1434443379456901e-07
4.357856358822737e-09,2.9840808041388494e-18,-4.257084314749292e-09,303.7615632374724,1.1434443379456901e-07
4.557856358822737e-09,2.9840808041388494e-18,-4.287476248968022e-09,304.04444040750207,1.1434443379456901e-07
4.757856358822737e-09,2.9840808041388494e-18,-4.319860208652973e-09,304.3442341391401,1.1434443379456901e-07
