t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-08,0.007557265323624847,-18802.48082606503,301.80743866362815,2777347.9760648413
2.05e-08,0.007557265323624847,-20203.535652443392,304.65048950960994,2777347.9760648413
3.1525e-08,0.007557265323624847,-22153.19937914424,308.37518441749467,2777347.9760648413
4.3101250000000004e-08,0.007557265323624847,-24718.83405716366,312.92685961757235,2777347.9760648413
5.5256312500000004e-08,0.007557265323624847,-28011.18139848916,318.2879468955374,2777347.9760648413
6.801912812500001e-08,0.007557265323624847,-32181.65532454814,324.4584731948957,2777347.9760648413
8.142008453125001e-08,0.007557265323624847,-37426.45248010493,331.44875180246675,2777347.9760648413
9.549108875781251e-08,0.007557265323624847,-43993.42064525253,339.27562629670604,2777347.9760648413
1.1026564319570314e-07,0.007557265323624847,-52190.73225000024,347.9603350225379,2777347.9760648413
1.2577892535548832e-07,0.007557265323624847,-62396.78747778465,357.52716673001044,2777347.9760648413
1.4206787162326273e-07,0.007557265323624847,-75070.82680300354,368.0025358381182,2777347.9760648413
1.5917126520442587e-07,0.007557265323624847,-90763.63752272903,379.4142938096374,2777347.9760648413
1.7712982846464716e-07,0.007557265323624847,-110127.58388832257,391.79117869566664,2777347.9760648413
1.9598631988787953e-07,0.007557265323624847,-133925.02506250556,405.162347389047,2777347.9760648413
2.157856358822735e-07,0.007557265323624847,-163034.0487621493,419.556957800714,2777347.9760648413
2.357856358822735e-07,2106215.379228014,-29977800345714.965,434.40490093787275,37010147602548.07
2.557856358822735e-07,11588275.30377708,-166854381734466.75,449.51305128105264,139230659020546.5
2.7578563588227355e-07,48889550.74358684,-731723963062368.0,464.8404728859639,461974943892469.56
2.9578563588227357e-07,184302133.89187852,-2882268111207385.0,480.35123696576187,1427366191871281.2
3.157856358822736e-07,643255438.363928,-1.0470161021013828e+16,496.01360622959606,4153226660585996.0
3.357856358822736e-07,2102666859.787816,-3.538480175735483e+16,511.79941355503433,1.1431859884618276e+16
3.5578563588227363e-07,6471976938.954156,-1.11825965893892e+17,527.6835674782519,2.9858551020056068e+16
3.7578563588227365e-07,18827856356.4345,-3.3186511371400506e+17,543.6436494679346,7.420821814704182e+16
3.9578563588227367e-07,51935093526.620895,-9.28475184353048e+17,559.6595807050609,1.75971654639448e+17
4.157856358822737e-07,136247755060.1285,-2.457990482336707e+18,575.7133429393025,3.992006632750312e+17
4.357856358822737e-07,340927627843.75226,-6.179056398665346e+18,591.7887422338209,8.685900625317966e+17
4.5578563588227373e-07,815947568929.8765,-1.4799388110894762e+19,607.87120724212,1.8171425653844383e+18
4.7578563588227375e-07,1872735109151.0308,-3.3877172629749527e+19,623.947615639791,3.6638776330485187e+18
4.957856358822737e-07,4132306508337.7056,-7.433423855742407e+19,640.0061437608235,7.135851371873825e+18
5.157856358822737e-07,8786948825500.918,-1.5677629777099263e+20,656.0361355408722,1.3453140987987128e+19
5.357856358822738e-07,18045971516134.977,-3.1863473023214354e+20,672.0279876610316,2.4600341078836298e+19
5.557856358822738e-07,35869570865495.61,-6.255454987059673e+20,687.9730483894801,4.371288223663431e+19
5.757856358822738e-07,69139206167952.97,-1.1888701716427922e+21,703.8635280853382,7.561124025753105e+19
5.957856358822738e-07,129469199782927.62,-2.1918150920511388e+21,719.692419694493,1.2751956489542484e+20
6.157856358822738e-07,235932886441586.1,-3.9271832173377277e+21,735.4534278560831,2.100068169586586e+20
6.357856358822739e-07,419055974876349.7,-6.850310844327676e+21,751.1409054689764,3.381861303248205e+20
6.557856358822739e-07,726514760256625.9,-1.1651031996157349e+22,766.7497967532922,5.3319853818951965e+20
6.757856358822739e-07,1231055665207623.5,-1.93482558819983e+22,782.2755859927411,8.239843555806837e+20
6.957856358822739e-07,2041201207844133.2,-3.1409343310619713e+22,797.7142512667899,1.2492987818204848e+21
7.157856358822739e-07,3315280378258026.5,-4.989288911893531e+22,813.0622225831036,1.8598405403308752e+21
7.35785635882274e-07,5279139191495334.0,-7.760612443300617e+22,828.3163439047465,2.7202096447194147e+21
7.55785635882274e-07,8247426042241726.0,-1.1825481110138042e+23,843.473838636655,3.9101682846017986e+21
7.75785635882274e-07,1.2647446339422044e+16,-1.765425296292113e+23,858.5322781945723,5.524345972559314e+21
7.95785635882274e-07,1.904311065834547e+16,-2.5814926698941288e+23,873.4895533290567,7.669182267641704e+21
8.15785635882274e-07,2.815453481767021e+16,-3.694965602368572e+23,888.3438479190096,1.0455774868886482e+22
8.357856358822741e-07,4.086696331800646e+16,-5.172128870212096e+23,903.0936149847388,1.3987841629914837e+22
8.557856358822741e-07,5.822222134030042e+16,-7.072859284061399e+23,917.7375547009432,1.8345735749934414e+22
8.757856358822741e-07,8.138851214662336e+16,-9.440411573717346e+23,932.2745942160619,2.357022756924448e+22
8.957856358822741e-07,1.1161084189302515e+17,-1.229273539291917e+24,946.7038691068421,2.9652358419492993e+22
9.157856358822741e-07,1.501524262094339e+17,-1.5619307444095282e+24,961.0247063163587,3.653537558544778e+22
9.357856358822742e-07,1.9824212545721235e+17,-1.9385735331228527e+24,975.2366084405146,4.413014349701569e+22
9.55785635882274e-07,2.570399578018723e+17,-2.354464078004664e+24,989.3392392426607,5.233851715967327e+22
9.75785635882274e-07,3.2762287666640506e+17,-2.8048115556710717e+24,1003.3324102887269,6.107495334847246e+22
9.957856358822741e-07,4.1098225029900115e+17,-3.285679726350331e+24,1017.2160686064202,7.0278414745424e+22
