t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-08,1.6904056869653332e-11,-4.194808760557421e-05,301.80743866362815,0.006212359381832291
2.05e-08,1.6904056869653332e-11,-4.5073834741297365e-05,304.65048950960994,0.006212359381832291
3.1525e-08,1.6904056869653332e-11,-4.9423523916288565e-05,308.37518441749467,0.006212359381832291
4.3101250000000004e-08,1.6904056869653332e-11,-5.514744021466661e-05,312.92685961757235,0.006212359381832291
5.5256312500000004e-08,1.6904056869653332e-11,-6.249264856373907e-05,318.2879468955374,0.006212359381832291
6.801912812500001e-08,1.6904056869653332e-11,-7.179695354754996e-05,324.4584731948957,0.006212359381832291
8.142008453125001e-08,1.6904056869653332e-11,-8.3498070096983e-05,331.44875180246675,0.006212359381832291
9.549108875781251e-08,1.6904056869653332e-11,-9.814894704634076e-05,339.27562629670604,0.006212359381832291
1.1026564319570314e-07,1.6904056869653332e-11,-0.00011643711790165422,347.9603350225379,0.006212359381832291
1.2577892535548832e-07,1.6904056869653332e-11,-0.00013920679486522134,357.52716673001044,0.006212359381832291
1.4206787162326273e-07,1.6904056869653332e-11,-0.00016748254566295234,368.0025358381182,0.006212359381832291
1.5917126520442587e-07,1.6904056869653332e-11,-0.00020249318013772604,379.4142938096374,0.006212359381832291
1.7712982846464716e-07,1.6904056869653332e-11,-0.00024569412786502155,391.79117869566664,0.006212359381832291
1.9598631988787953e-07,1.6904056869653332e-11,-0.00029878621907864183,405.162347389047,0.006212359381832291
2.157856358822735e-07,1.6904056869653332e-11,-0.0003637284769560963,419.556957800714,0.006212359381832291
2.357856358822735e-07,1.6904056869653332e-11,-0.00043949530983569083,434.40490093787275,0.006212359381832291
2.557856358822735e-07,1.6904056869653332e-11,-0.0005260176184289382,449.51305128105264,0.006212359381832291
2.7578563588227355e-07,1.6904056869653332e-11,-0.0006237293549991781,464.8404728859639,0.006212359381832291
2.9578563588227357e-07,1.6904056869653332e-11,-0.0007329448696388955,480.35123696576187,0.006212359381832291
3.157856358822736e-07,1.6904056869653332e-11,-0.0008538581030592811,496.01360622959606,0.006212359381832291
3.357856358822736e-07,1.6904056869653332e-11,-0.0009865458083428682,511.79941355503433,0.006212359381832291
3.5578563588227363e-07,1.6904056869653332e-11,-0.001130973932866751,527.6835674782519,0.006212359381832291
3.7578563588227365e-07,1.6904056869653332e-11,-0.0012870063487069444,543.6436494679346,0.006212359381832291
3.9578563588227367e-07,1.6904056869653332e-11,-0.00145441518162991,559.6595807050609,0.006212359381832291
4.157856358822737e-07,1.6904056869653332e-11,-0.001632892076269704,575.7133429393025,0.006212359381832291
4.357856358822737e-07,2360087.486539665,-31075459971817.812,591.7887422338209,10015388841058.719
4.5578563588227373e-07,9245000.762705544,-95700516415302.34,607.87120724212,26337565089624.977
4.7578563588227375e-07,27796298.47364667,-261150010632393.5,623.947615639791,64317261132226.73
4.957856358822737e-07,75220400.29870212,-673364342837111.6,640.0061437608235,149767912087338.53
5.157856358822737e-07,190775792.68309525,-1652793559433064.8,656.0361355408722,333985341014545.4
5.357856358822738e-07,460008957.42310023,-3875488428051802.5,672.0279876610316,715326219414470.8
5.557856358822738e-07,1061553208.4844908,-8707510394532447.0,687.9730483894801,1475301663587597.0
5.757856358822738e-07,2353874752.947069,-1.8799063886023344e+16,703.8635280853382,2937023371435914.5
5.957856358822738e-07,5030071714.788718,-3.909995418030019e+16,719.692419694493,5656643384237325.0
6.157856358822738e-07,10384501898.669245,-7.853310734029195e+16,735.4534278560831,1.0561850586855824e+16
6.357856358822739e-07,20757095718.476242,-1.526605110413392e+17,751.1409054689764,1.915538755839268e+16
6.557856358822739e-07,40251266958.49699,-2.8779767807648314e+17,766.7497967532922,3.3805783959839304e+16
6.757856358822739e-07,75860931591.73956,-5.271786970861785e+17,782.2755859927411,5.815186876446257e+16
6.957856358822739e-07,139192722641.0116,-9.39942270078344e+17,797.7142512667899,9.765187820440595e+16
7.157856358822739e-07,249032217647.9721,-1.6338958223081172e+18,813.0622225831036,1.6031184359299965e+17
7.35785635882274e-07,435078635287.3628,-2.7732135971368294e+18,828.3163439047465,2.5763113782979712e+17
7.55785635882274e-07,743261231941.466,-4.6024274277697096e+18,843.473838636655,4.058053095110302e+17
7.75785635882274e-07,1243152122881.9722,-7.478265862444193e+18,858.5322781945723,6.272274032404429e+17
7.95785635882274e-07,2038103352004.3347,-1.1911077796619274e+19,873.4895533290567,9.523286736528759e+17
8.15785635882274e-07,3278858908672.1357,-1.8617729757784166e+19,888.3438479190096,1.42179783905212e+18
8.357856358822741e-07,5181522523912.228,-2.8587980994894373e+19,903.0936149847388,2.0892147583759488e+18
8.557856358822741e-07,8050896342040.006,-4.3166408226533966e+19,917.7375547009432,3.024129705227915e+18
8.757856358822741e-07,12310340325256.412,-6.415196476806695e+19,932.2745942160619,4.3156133880143585e+18
