t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-06,0.037133201628321066,-19935.910782897146,300.92680630813607,139573.0007556229
2.05e-06,0.037133201628321066,-20691.065596227018,302.38448476652803,139573.0007556229
3.1525e-06,0.037133201628321066,-21712.135564345506,304.2941815170386,139573.0007556229
4.310125e-06,0.037133201628321066,-23009.82992428533,306.6279059245748,139573.0007556229
5.52563125e-06,0.037133201628321066,-24610.28929597953,309.3763541917268,139573.0007556229
6.8019128125e-06,0.037133201628321066,-26551.51091191495,312.5393662137065,139573.0007556229
8.142008453125e-06,0.037133201628321066,-28882.80730829734,316.12202769366,139573.0007556229
9.54910887578125e-06,0.037133201628321066,-31664.430237486464,320.1312855405595,139573.0007556229
1.1026564319570314e-05,0.037133201628321066,-34971.41816746804,324.5786332638999,139573.0007556229
1.2577892535548829e-05,0.037133201628321066,-38893.45341081737,329.4763979815664,139573.0007556229
1.4206787162326272e-05,0.037133201628321066,-43537.17789011446,334.83767253527077,139573.0007556229
1.5917126520442588e-05,0.037133201628321066,-49028.756632562814,340.67620929907486,139573.0007556229
1.771298284646472e-05,0.037133201628321066,-55516.511600351914,347.0061416428724,139573.0007556229
1.9598631988787957e-05,0.037133201628321066,-63173.70775640559,353.84173639298405,139573.0007556229
2.1578563588227356e-05,0.037133201628321066,-72201.40729126579,361.19717100350437,139573.0007556229
2.3657491767638723e-05,0.037133201628321066,-82831.27473937193,369.0863265042256,139573.0007556229
2.584036635602066e-05,0.037133201628321066,-95328.18531138009,377.52259048348157,139573.0007556229
2.8132384673821694e-05,0.037133201628321066,-109992.45921616537,386.5186669239634,139573.0007556229
3.053900390751278e-05,0.037133201628321066,-127161.51916909406,396.08639151563005,139573.0007556229
3.306595410288842e-05,0.037133201628321066,-147210.75069990277,406.2365523597217,139573.0007556229
3.571925180803284e-05,0.037133201628321066,-170553.33954171193,416.97871692920927,139573.0007556229
3.850521439843448e-05,0.037133201628321066,-197638.87128488012,428.3210668769542,139573.0007556229
4.143047511835621e-05,0.037133201628321066,-228950.5087235589,440.2702428542587,139573.0007556229
4.4501998874274025e-05,0.037133201628321066,-265000.61351185816,452.8312019627664,139573.0007556229
4.772709881798773e-05,0.037133201628321066,-306324.75042353506,466.0070908361031,139573.0007556229
5.111345375888712e-05,2219753965.999507,-603187275197771.0,479.79913764408826,138961123278859.27
5.4669126446831475e-05,10842960294.219444,-2272473767833736.0,494.20656653043955,446503064049796.5
5.8402582769173055e-05,40035669082.79967,-7385620385596987.0,509.22653812455826,1253380904813823.5
6.232271190763171e-05,134292247636.00441,-2.284024099783073e+16,524.854119792808,3365074150628212.0
6.64388475030133e-05,429372432969.66644,-6.8423093661459704e+16,541.082289194298,8786895980774814.0
7.076078987816397e-05,1327775262090.6592,-1.992328250352652e+17,557.9019744585582,2.2388027089080496e+16
7.529882937207217e-05,3987619673714.6016,-5.638727501214804e+17,575.3021338864418,5.566316286220046e+16
8.006377084067578e-05,11639207041674.621,-1.5500530812342508e+18,593.2698774732709,1.349620296083974e+17
8.506695938270958e-05,33005382477452.98,-4.1346907133943813e+18,611.7906317525945,3.188340739137935e+17
9.032030735184505e-05,90869452676001.38,-1.0693269618656236e+19,630.8483484562839,7.333088645341668e+17
9.583632271943731e-05,242639389627689.2,-2.6775644851724812e+19,650.4257562892346,1.6397800562218163e+18
0.00010162813885540918,627084144056844.9,-6.472862358271508e+19,670.504653744756,3.5550532054365583e+18
0.00010770954579817965,1561679073516489.5,-1.5010951912134744e+20,691.0662393749565,7.425731506316776e+18
0.00011409502308808864,3714573088538334.0,-3.2964979912640974e+20,712.0914743297017,1.4754760751813188e+19
0.00012079977424249307,8322078418682827.0,-6.719219869029785e+20,733.5614703549919,2.7344094487081267e+19
0.00012783976295461773,1.7315698583060136e+16,-1.2474857869306246e+21,755.4578948781977,4.640199633321043e+19
0.00013523175110234862,3.326579662922841e+16,-2.1012652060369766e+21,777.7633833971233,7.18375143873658e+19
0.00014299333865746606,5.928952512242808e+16,-3.252731425116323e+21,800.4619482332157,1.0278086260654981e+20
0.00015114300559033938,9.90068295670157e+16,-4.7123055225379383e+21,823.5393719090747,1.3834987653961243e+20
0.00015970015586985636,1.562353481391242e+17,-6.475116427395736e+21,846.9835730629075,1.7742414627249517e+20
0.0001686851636633492,2.3384231919992192e+17,-8.497064064473765e+21,870.7849329993664,2.179401248823491e+20
0.00017811942184651667,3.3100628997320384e+17,-1.0682872808844363e+22,894.9365717543012,2.5669274008474576e+20
0.00018802539293884252,4.385962418077486e+17,-1.2908902319064646e+22,919.4345639445127,2.9031197157220162e+20
0.00019802539293884252,5.327816898233057e+17,-1.5008868851880865e+22,943.3480519469034,3.16560954633372e+20
0.00020802539293884252,5.91657295092183e+17,-1.6968402076382404e+22,966.5025505702419,3.37474672245464e+20
0.00021802539293884252,6.054571344833983e+17,-1.8853509505925916e+22,988.9526697451089,3.563986895232921e+20
0.00022802539293884251,5.803425587641565e+17,-2.0721965325401186e+22,1010.7490010571322,3.752905232829314e+20
0.00023802539293884251,5.318675897314863e+17,-2.258802562434722e+22,1031.9381000659723,3.9440485123434453e+20
0.0002480253929388425,4.753123873209987e+17,-2.4434659415826977e+22,1052.562634381777,4.134013258150779e+20
0.00025802539293884254,4.2075931225273434e+17,-2.6172013715071827e+22,1072.43088463952,4.311882141396398e+20
0.00026802539293884257,3.7263931988933843e+17,-2.781386380462919e+22,1091.6669122498063,4.484130162803037e+20
0.0002780253929388426,3.317934224388792e+17,-2.9369914567422978e+22,1110.3731384234552,4.656354675431335e+20
