t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-10,7.287255841125509e-06,-9427.129676392102,300.1275275555244,279591.0125723482
2.0500000000000002e-10,7.287255841125509e-06,-9444.407938417356,300.19859098489417,279591.0125723482
3.1525e-10,7.287255841125509e-06,-9458.893935869246,300.2580918655272,279591.0125723482
4.3101250000000007e-10,7.287255841125509e-06,-9472.407454949702,300.3135341508074,279591.0125723482
5.525631250000001e-10,7.287255841125509e-06,-9485.664902760926,300.3678662918504,279591.0125723482
6.801912812500001e-10,7.287255841125509e-06,-9499.06521853918,300.4227246068291,279591.0125723482
8.142008453125001e-10,7.287255841125509e-06,-9512.885242538758,300.4792392196619,279591.0125723482
9.549108875781252e-10,7.287255841125509e-06,-9527.350120082072,300.53832407873205,279591.0125723482
1.1026564319570316e-09,7.287255841125509e-06,-9542.665348449067,300.6008084998625,279591.0125723482
1.2577892535548832e-09,7.287255841125509e-06,-9559.03439407161,300.66750894477394,279591.0125723482
1.4206787162326274e-09,7.287255841125509e-06,-9576.670267129155,300.73927558591276,279591.0125723482
1.591712652044259e-09,7.287255841125509e-06,-9595.804551589896,300.81702800624277,279591.0125723482
1.7712982846464719e-09,7.287255841125509e-06,-9616.695593125285,300.9017869397812,279591.0125723482
1.9598631988787956e-09,7.287255841125509e-06,-9639.636823388055,300.99470592692296,279591.0125723482
2.1578563588227356e-09,7.287255841125509e-06,-9664.965902940081,301.09710547501476,279591.0125723482
2.3578563588227357e-09,7.287255841125509e-06,-9691.956546484334,301.2060029914101,279591.0125723482
2.557856358822736e-09,7.287255841125509e-06,-9720.48737370519,301.3208699609338,279591.0125723482
2.757856358822736e-09,7.287255841125509e-06,-9750.692581277457,301.4422057330362,279591.0125723482
2.957856358822736e-09,7.287255841125509e-06,-9782.708350016705,301.5705106517797,279591.0125723482
3.1578563588227363e-09,7.287255841125509e-06,-9816.674541497074,301.7062921560906,279591.0125723482
3.3578563588227364e-09,7.287255841125509e-06,-9852.7360058749,301.8500691759442,279591.0125723482
3.5578563588227366e-09,7.287255841125509e-06,-9891.043680808334,302.00237555091445,279591.0125723482
3.757856358822737e-09,7.287255841125509e-06,-9931.75556900597,302.16376281861295,279591.0125723482
3.957856358822737e-09,7.287255841125509e-06,-9975.037647181854,302.334802576497,279591.0125723482
4.157856358822737e-09,7.287255841125509e-06,-10021.06474165396,302.51608854687305,279591.0125723482
4.357856358822737e-09,7.287255841125509e-06,-10070.021395771282,302.70823843189817,279591.0125723482
4.557856358822737e-09,7.287255841125509e-06,-10122.102748238414,302.9118956184063,279591.0125723482
4.757856358822737e-09,7.287255841125509e-06,-10177.515437584581,303.1277307746978,279591.0125723482
4.9578563588227375e-09,7.287255841125509e-06,-10236.478545634947,303.35644336946655,279591.0125723482
5.157856358822738e-09,7.287255841125509e-06,-10299.224591388207,303.59876313472984,279591.0125723482
5.357856358822738e-09,7.287255841125509e-06,-10366.00058589327,303.85545148874724,279591.0125723482
5.557856358822738e-09,7.287255841125509e-06,-10437.06915835966,304.1273029306618,279591.0125723482
5.757856358822738e-09,7.287255841125509e-06,-10512.709763717236,304.41514641547616,279591.0125723482
5.957856358822738e-09,7.287255841125509e-06,-10593.219982083896,304.7198467156452,279591.0125723482
6.157856358822738e-09,7.287255841125509e-06,-10678.916921056052,305.0423057737981,279591.0125723482
6.3578563588227385e-09,7.287255841125509e-06,-10770.138732375652,305.38346404973555,279591.0125723482
6.557856358822739e-09,7.287255841125509e-06,-10867.246255330854,305.74430186377975,279591.0125723482
6.757856358822739e-09,7.287255841125509e-06,-10970.624800203736,306.12584073770313,279591.0125723482
6.957856358822739e-09,7.287255841125509e-06,-11080.686086184893,306.52914473376904,279591.0125723482
7.157856358822739e-09,7.287255841125509e-06,-11197.87034942981,306.95532179185045,279591.0125723482
7.357856358822739e-09,7.287255841125509e-06,-11322.648638340843,307.40552506411433,279591.0125723482
7.557856358822738e-09,7.287255841125509e-06,-11455.525314725557,307.880954246351,279591.0125723482
7.757856358822739e-09,7.287255841125509e-06,-11597.0407812183,308.38285690467825,279591.0125723482
7.957856358822739e-09,7.287255841125509e-06,-11747.774457263064,308.91252979603354,279591.0125723482
8.157856358822739e-09,7.287255841125509e-06,-11908.348028058392,309.4713201805949,279591.0125723482
8.357856358822739e-09,7.287255841125509e-06,-12079.428993166934,310.0606271240146,279591.0125723482
8.557856358822739e-09,7.287255841125509e-06,-12261.734544010644,310.68190278712,279591.0125723482
8.75785635882274e-09,7.287255841125509e-06,-12456.03580222091,311.33665370052233,279591.0125723482
8.95785635882274e-09,7.287255841125509e-06,-12663.162453804287,312.0264420213727,279591.0125723482
9.15785635882274e-09,7.287255841125509e-06,-12884.007817337199,312.75288676931643,279591.0125723482
9.35785635882274e-09,7.287255841125509e-06,-13119.534387929423,313.5176650385187,279591.0125723482
9.55785635882274e-09,7.287255841125509e-06,-13370.779902513295,314.32251318246614,279591.0125723482
9.75785635882274e-09,7.287255841125509e-06,-13638.86397613386,315.1692279680865,279591.0125723482
9.95785635882274e-09,7.287255841125509e-06,-13924.99536335141,316.05966769557637,279591.0125723482
1.015785635882274e-08,7.287255841125509e-06,-14230.479903626738,316.9957532801807,279591.0125723482
1.035785635882274e-08,7.287255841125509e-06,-14556.729214651961,317.9794692920298,279591.0125723482
1.055785635882274e-08,7.287255841125509e-06,-14905.270203015933,319.01286495000664,279591.0125723482
1.075785635882274e-08,7.287255841125509e-06,-15277.755467351368,320.09805506549225,279591.0125723482
1.095785635882274e-08,7.287255841125509e-06,-15675.974675194144,321.237220931727,279591.0125723482
1.1157856358822741e-08,7.287255841125509e-06,-16101.867001167682,322.432611154403,279591.0125723482
1.1357856358822741e-08,7.287255841125509e-06,-16557.534720776002,323.6865424190203,279591.0125723482
1.1557856358822741e-08,7.287255841125509e-06,-17045.258060982644,325.00140019042374,279591.0125723482
1.1757856358822741e-08,7.287255841125509e-06,-17567.5114158503,326.3796393398829,279591.0125723482
1.1957856358822741e-08,7.287255841125509e-06,-18126.98104270164,327.82378469496985,279591.0125723482
1.2157856358822742e-08,7.287255841125509e-06,-18726.584361493595,329.3364315074566,279591.0125723482
1.2357856358822742e-08,7.287255841125509e-06,-19369.49098721341,330.920245834372,279591.0125723482
1.2557856358822742e-08,7.287255841125509e-06,-20059.14563200395,332.5779648273347,279591.0125723482
1.2757856358822742e-08,7.287255841125509e-06,-20799.29302020872,334.3123969252362,279591.0125723482
1.2957856358822742e-08,7.287255841125509e-06,-21594.00496540345,336.1264219453248,279591.0125723482
1.3157856358822742e-08,7.287255841125509e-06,-22447.70976350541,338.02299106773324,279591.0125723482
1.3357856358822742e-08,7.287255841125509e-06,-23365.224059948778,340.00512670850486,279591.0125723482
1.3557856358822743e-08,7.287255841125509e-06,-24351.787351337363,342.0759222761695,279591.0125723482
1.3757856358822743e-08,7.287255841125509e-06,-25413.099282597184,344.2385418069703,279591.0125723482
1.3957856358822743e-08,7.287255841125509e-06,-26555.35989899006,346.496219473863,279591.0125723482
1.4157856358822743e-08,7.287255841125509e-06,-27785.31300799037,348.8522589644856,279591.0125723482
1.4357856358822743e-08,7.287255841125509e-06,-29110.29279840809,351.31003272334857,279591.0125723482
1.4557856358822743e-08,7.287255841125509e-06,-30538.27385273671,353.87298105358263,279591.0125723482
1.4757856358822743e-08,7.287255841125509e-06,-32077.924672900517,356.54461107369605,279591.0125723482
1.4957856358822742e-08,7.287255841125509e-06,-33738.66481870096,359.3284955248667,279591.0125723482
1.515785635882274e-08,7.287255841125509e-06,-35530.72573173165,362.2282714244678,279591.0125723482
1.535785635882274e-08,7.287255841125509e-06,-37465.21528457595,365.2476385616205,279591.0125723482
