t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-08,6.223858222209014e-05,-163.7240793202683,300.65069071444617,23559.97767008818
2.05e-08,6.223858222209014e-05,-168.0741422742981,301.6740580386887,23559.97767008818
3.1525e-08,6.223858222209014e-05,-173.89992088258012,303.01469633882033,23559.97767008818
4.3101250000000004e-08,6.223858222209014e-05,-181.2187375131326,304.65292703097384,23559.97767008818
5.5256312500000004e-08,6.223858222209014e-05,-190.12520157581892,306.58217575383054,23559.97767008818
6.801912812500001e-08,6.223858222209014e-05,-200.76758455878377,308.80227965448677,23559.97767008818
8.142008453125001e-08,6.223858222209014e-05,-213.34124034572622,311.3167501131565,23559.97767008818
9.549108875781251e-08,6.223858222209014e-05,-228.08842176633436,314.13141172882354,23559.97767008818
1.1026564319570314e-07,6.223858222209014e-05,-245.30127343228685,317.25362844714493,23559.97767008818
1.2577892535548832e-07,6.223858222209014e-05,-265.3267906282045,320.6918145717078,23559.97767008818
1.4206787162326273e-07,6.223858222209014e-05,-288.5732138413663,324.45509660970293,23559.97767008818
1.5917126520442587e-07,6.223858222209014e-05,-315.50534762127063,328.5512538331749,23559.97767008818
1.7712982846464716e-07,6.223858222209014e-05,-346.6849626539098,332.9915031402051,23559.97767008818
1.9598631988787953e-07,6.223858222209014e-05,-382.75360783591043,337.78595575262256,23559.97767008818
2.157856358822735e-07,6.223858222209014e-05,-424.4477656036186,342.9444169991264,23559.97767008818
2.357856358822735e-07,6.223858222209014e-05,-470.6757130541252,348.2620450128916,23559.97767008818
2.557856358822735e-07,6.223858222209014e-05,-521.1847980022675,353.66936844324493,23559.97767008818
2.7578563588227355e-07,6.223858222209014e-05,-576.1202102856402,359.15151889146705,23559.97767008818
2.9578563588227357e-07,6.223858222209014e-05,-635.6149727528098,364.6954644158923,23559.97767008818
3.157856358822736e-07,6.223858222209014e-05,-699.7882465998365,370.28970965501463,23559.97767008818
3.357856358822736e-07,6.223858222209014e-05,-768.7441554886184,375.92406850268145,23559.97767008818
3.5578563588227363e-07,6.223858222209014e-05,-842.5709978163076,381.5894834180978,23559.97767008818
3.7578563588227365e-07,6.223858222209014e-05,-921.3407831767087,387.2778782622348,23559.97767008818
3.9578563588227367e-07,6.223858222209014e-05,-1005.1090478520715,392.9820364405188,23559.97767008818
4.157856358822737e-07,6.223858222209014e-05,-1093.914911650622,398.6954987038913,23559.97767008818
4.357856358822737e-07,6.223858222209014e-05,-1187.7813422246845,404.4124765325253,23559.97767008818
4.5578563588227373e-07,6.223858222209014e-05,-1286.715595519213,410.12777806740723,23559.97767008818
4.7578563588227375e-07,6.223858222209014e-05,-1390.7098030904144,415.83674427835797,23559.97767008818
4.957856358822737e-07,6.223858222209014e-05,-1499.7416790500433,421.5351935764929,23559.97767008818
5.157856358822737e-07,6.223858222209014e-05,-1613.7753214622428,427.2193734612567,23559.97767008818
5.357856358822738e-07,6.223858222209014e-05,-1732.7620851742581,432.88591807874485,23559.97767008818
5.557856358822738e-07,6.223858222209014e-05,-1856.6415052811597,438.5318107863788,23559.97767008818
5.757856358822738e-07,6.223858222209014e-05,-1985.342252669301,444.154350987658,23559.97767008818
5.957856358822738e-07,6.223858222209014e-05,-2118.7831053101927,449.7511246325561,23559.97767008818
6.157856358822738e-07,6.223858222209014e-05,-2256.873921144365,455.3199778832932,23559.97767008818
6.357856358822739e-07,6.223858222209014e-05,-2399.5166004683524,460.8589935283263,23559.97767008818
6.557856358822739e-07,6.223858222209014e-05,-2546.606027689519,466.3664697942908,23559.97767008818
6.757856358822739e-07,6.223858222209014e-05,-2698.030984122563,471.84090125990326,23559.97767008818
6.957856358822739e-07,6.223858222209014e-05,-2853.8110595659978,477.2856426760086,23559.97767008818
7.157856358822739e-07,6.223858222209014e-05,-3013.6939966652967,482.69470692385636,23559.97767008818
7.35785635882274e-07,2162199.6489822255,-41612783089900.89,488.06695781850624,21115411876079.406
7.55785635882274e-07,6299331.326520442,-100065457302373.9,493.4015458799321,38377303319624.484
7.75785635882274e-07,13190624.446921298,-183832335235904.47,498.6977480853491,60810756502392.125
7.95785635882274e-07,24013332.417135626,-305287834442892.6,503.95495035260745,90976858774941.3
8.15785635882274e-07,40445697.554627724,-481217266207594.3,509.1726383549552,131764787923477.47
8.357856358822741e-07,64835283.0792069,-734455653129825.1,514.3503896692235,186799601015204.75
8.557856358822741e-07,100423286.00896794,-1095930432834551.1,519.4878664731183,260672369523922.44
8.757856358822741e-07,151636500.6995883,-1607208964655537.8,524.5848086963595,359187571798556.94
8.957856358822741e-07,224462393.74713868,-2323675664519984.0,529.6410276171567,489645867524725.56
9.157856358822741e-07,326926066.04446566,-3318473242403010.5,534.6563998971649,661171509033745.9
9.357856358822742e-07,469691391.165892,-4687356441390532.0,539.6308620401711,885091761140979.4
9.55785635882274e-07,666812446.4737506,-6554623247558797.0,544.5644052539119,1175375047188417.0
9.75785635882274e-07,936665544.5343466,-9080306643693952.0,549.4570706913989,1549134339605233.8
9.957856358822741e-07,1303096751.5768752,-1.246882899592495e+16,554.3089450470122,2027202284466250.0
1.0157856358822741e-06,1796824756.8475065,-1.6979340688174184e+16,559.120156482805,2634784570092027.5
1.0357856358822742e-06,2457144332.9833207,-2.2937984346420536e+16,563.8908708612896,3402198065978150.5
1.0557856358822742e-06,3333981397.5541162,-3.075234565579272e+16,568.6212882622259,4365700245726566.5
1.0757856358822742e-06,4490356838.788364,-4.092837112143904e+16,573.3116397622703,5568416354906717.0
1.0957856358822742e-06,6005322788.434636,-5.409005192560838e+16,577.9621844578488,7061370687133783.0
1.1157856358822742e-06,7977441891.524707,-7.100219106778339e+16,582.573206713006,8904628187801134.0
1.1357856358822743e-06,10528887312.339094,-9.259658803593182e+16,587.145013615326,1.1168552415591564e+16
1.1557856358822743e-06,13810248700.451523,-1.2000199115613053e+17,591.6779326243955,1.3935185659219924e+16
1.1757856358822743e-06,18006137089.607327,-1.545781823353323e+17,596.1723093984049,1.7299756733798532e+16
1.1957856358822743e-06,23341689682.09471,-1.9795457200055766e+17,600.6285057856549,2.1372321671463308e+16
1.2157856358822743e-06,30090083646.884956,-2.5207369352320973e+17,605.0468979687591,2.627954217856753e+16
1.2357856358822744e-06,38581176394.33127,-3.192399962001023e+17,609.427874750268,3.216660636128004e+16
1.2557856358822744e-06,49211398245.842926,-4.021743438693429e+17,613.7718359693579,3.91992958274826e+16
1.2757856358822744e-06,62455031955.41959,-5.0407463241979475e+17,618.0791910399921,4.7566202860088296e+16
1.2957856358822744e-06,78877022122.99655,-6.286829437830198e+17,622.3503576017082,5.748110093000557e+16
1.3157856358822744e-06,99147466129.44078,-7.803596564750139e+17,626.585760274893,6.918547138050453e+16
1.3357856358822745e-06,124057946782.82732,-9.641649334011089e+17,630.7858295129784,8.295118867299307e+16
1.3557856358822745e-06,154539875359.65918,-1.185948006491504e+18,634.9510005445958,9.90833661413272e+16
1.3757856358822745e-06,191685022118.8592,-1.4524446748541512e+18,639.0817123992456,1.1792336376152462e+17
1.3957856358822745e-06,236768419628.33405,-1.7713834285874473e+18,643.178407010495,1.3985195900946733e+17
1.4157856358822745e-06,291273832343.42554,-2.1516006042733617e+18,647.2415283911853,1.6529268145399834e+17
1.4357856358822746e-06,356921993785.49585,-2.603164970565889e+18,651.2715218755284,1.9471531131929395e+17
1.4557856358822746e-06,435701820361.37775,-3.137512133301501e+18,655.268833423339,2.2863954185068243e+17
1.4757856358822746e-06,529904818316.8984,-3.767589139293582e+18,659.233908981983,2.6763880493396454e+17
1.4957856358822746e-06,642162907508.9725,-4.5080096465422295e+18,663.1671939019812,3.123442590512187e+17
1.5157856358822746e-06,775489892591.7524,-5.375220016096882e+18,667.0691324024409,3.6344893830661235e+17
1.5357856358822747e-06,933326818826.3003,-6.387676667363761e+18,670.9401670828108,4.2171206092482054e+17
1.5557856358822747e-06,1119591456025.2754,-7.566035024346768e+18,674.7807384776684,4.879634953119074e+17
1.5757856358822747e-06,1338732160121.2966,-8.933350365247746e+18,678.5912846514956,5.6310838147398637e+17
1.5957856358822747e-06,1595786367488.5767,-1.0515290872112038e+19,682.3722408306129,6.481319053118145e+17
1.6157856358822747e-06,1896443982442.1514,-1.234036316086167e+19,686.1240390696254,7.441042230485673e+17
1.6357856358822748e-06,2247115923278.77,-1.444015055517667e+19,689.8471079499303,8.521855328022932e+17
1.6557856358822748e-06,2655008096800.363,-1.6849564350314326e+19,693.5418723080119,9.736312900821231e+17
1.6757856358822748e-06,3128201075467.2354,-1.9607108295120536e+19,697.2087529913647,1.1097975637658449e+18
1.6957856358822748e-06,3675735755157.069,-2.2755156502231736e+19,700.8481666401009,1.2621465289048614e+18
1.7157856358822748e-06,4307705274949.496,-2.6340244977759605e+19,704.4605254923708,1.4322520924966812e+18
1.7357856358822749e-06,5035353483406.781,-3.041337694259784e+19,708.0462372118666,1.6218056481631985e+18
1.7557856358822749e-06,5871180238470.674,-3.503034209787325e+19,711.6057047358408,1.8326219554726356e+18
1.775785635882275e-06,6829053830332.6875,-4.0252049966872084e+19,715.1393261420991,2.0666451394383974e+18
1.795785635882275e-06,7924330818449.291,-4.614487742500774e+19,718.6474945335993,2.325954805519012e+18
