t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-06,0.03687351102850254,-1096.0957544588837,300.9654223156538,138459.8149576066
2.05e-06,0.03687351102850254,-1139.3636510062595,302.4838438643137,138459.8149576066
3.1525e-06,0.03687351102850254,-1197.9424743179359,304.4731345718102,138459.8149576066
4.310125e-06,0.03687351102850254,-1272.508653549461,306.9041430635378,138459.8149576066
5.52563125e-06,0.03687351102850254,-1364.6397850650226,309.7671866580112,138459.8149576066
6.8019128125e-06,0.03687351102850254,-1476.614601555676,313.0621090525199,138459.8149576066
8.142008453125e-06,0.03687351102850254,-1611.3437707047078,316.7930491691852,138459.8149576066
9.54910887578125e-06,0.03687351102850254,-1772.5175659228803,320.9694069045885,138459.8149576066
1.1026564319570314e-05,0.03687351102850254,-1964.6143361671493,325.6024350783982,138459.8149576066
1.2577892535548829e-05,0.03687351102850254,-2193.0136420511917,330.7047206479165,138459.8149576066
1.4206787162326272e-05,0.03687351102850254,-2464.133803176862,336.2899158367596,138459.8149576066
1.5917126520442588e-05,0.03687351102850254,-2785.578918218793,342.3723736184695,138459.8149576066
1.771298284646472e-05,0.03687351102850254,-3166.2989057832574,348.9668464344345,138459.8149576066
1.9598631988787957e-05,0.03687351102850254,-3616.7583779501942,356.0882279977663,138459.8149576066
2.1578563588227356e-05,0.03687351102850254,-4149.108478894094,363.7513217515186,138459.8149576066
2.3657491767638723e-05,0.03687351102850254,-4777.354079961277,371.9706257291382,138459.8149576066
2.584036635602066e-05,0.03687351102850254,-5517.506867661891,380.76012775464375,138459.8149576066
2.8132384673821694e-05,0.03687351102850254,-6387.713074012016,390.13310768156794,138459.8149576066
3.053900390751278e-05,0.03687351102850254,-7408.343112976307,400.10194525087815,138459.8149576066
3.306595410288842e-05,0.03687351102850254,-8602.029463774656,410.6779334823338,138459.8149576066
3.571925180803284e-05,0.03687351102850254,-9993.639047526782,421.87109849746133,138459.8149576066
3.850521439843448e-05,0.03687351102850254,-11610.167316187548,433.69002742405075,138459.8149576066
4.143047511835621e-05,0.03687351102850254,-13480.54348319923,446.1417066250314,138459.8149576066
4.4501998874274025e-05,51791594.72293643,-507011464392.1913,459.231372973489,4439306146085.023
4.772709881798773e-05,215243963.22625902,-1524192590013.4756,472.9623812854855,11522222373338.156
5.111345375888712e-05,723422735.4308745,-4513540171982.787,487.3360913333403,29519909396045.01
5.4669126446831475e-05,2275396351.7188,-13129259522292.098,502.35177809263615,74468140757893.39
5.8402582769173055e-05,6919100161.21838,-37417789923485.58,518.0065690157766,184553923832603.8
