t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-06,0.296451972212611,-133338.9942032455,300.9654223156538,1113175.395330466
2.05e-06,0.296451972212611,-138601.88754221096,302.4838438643137,1113175.395330466
3.1525e-06,0.296451972212611,-145727.25962864538,304.4731345718102,1113175.395330466
4.310125e-06,0.296451972212611,-154797.3686774207,306.9041430635378,1113175.395330466
5.52563125e-06,0.296451972212611,-166004.09396723955,309.7671866580112,1113175.395330466
6.8019128125e-06,0.296451972212611,-179624.6002591053,313.0621090525199,1113175.395330466
8.142008453125e-06,0.296451972212611,-196012.91644392084,316.7930491691852,1113175.395330466
9.54910887578125e-06,0.296451972212611,-215617.90045298883,320.9694069045885,1113175.395330466
1.1026564319570314e-05,0.296451972212611,-238984.26147335538,325.6024350783982,1113175.395330466
1.2577892535548829e-05,0.296451972212611,-266766.322623941,330.7047206479165,1113175.395330466
1.4206787162326272e-05,0.296451972212611,-299744.74841319525,336.2899158367596,1113175.395330466
1.5917126520442588e-05,0.296451972212611,-338844.4246224845,342.3723736184695,1113175.395330466
1.771298284646472e-05,0.296451972212611,-385153.92136525444,348.9668464344345,1113175.395330466
1.9598631988787957e-05,0.296451972212611,-439946.02982289856,356.0882279977663,1113175.395330466
2.1578563588227356e-05,0.296451972212611,-504698.6588958368,363.7513217515186,1113175.395330466
2.3657491767638723e-05,0.296451972212611,-581115.1662796054,371.9706257291382,1113175.395330466
2.584036635602066e-05,0.296451972212611,-671142.9729082135,380.76012775464375,1113175.395330466
2.8132384673821694e-05,0.296451972212611,-776989.0924147135,390.13310768156794,1113175.395330466
3.053900390751278e-05,0.296451972212611,-901131.026635731,400.10194525087815,1113175.395330466
3.306595410288842e-05,0.296451972212611,-1046321.3660195171,410.6779334823338,1113175.395330466
3.571925180803284e-05,0.296451972212611,-1215584.4224340797,421.87109849746133,1113175.395330466
3.850521439843448e-05,0.296451972212611,-1412203.340260905,433.69002742405075,1113175.395330466
4.143047511835621e-05,964810106.9053724,-296448016512682.25,446.1417066250314,100712638967151.19
4.4501998874274025e-05,4909377569.153088,-1181026054409103.0,459.231372973489,338107808551256.25
4.772709881798773e-05,19106542468.790928,-4090056308548007.5,472.9623812854855,1000798536117968.4
5.111345375888712e-05,68232048828.8286,-1.3578813876379228e+16,487.3360913333403,2853681772460383.0
5.4669126446831475e-05,234092494131.22247,-4.393656913924553e+16,502.35177809263615,7958459432217697.0
5.8402582769173055e-05,781417735087.4326,-1.3884939285111942e+17,518.0065690157766,2.1752253621419564e+16
6.232271190763171e-05,2544578335189.332,-4.2810994583060966e+17,534.2954121562295,5.821561243557245e+16
6.64388475030133e-05,8079701331900.86,-1.2856934445717496e+18,551.2110788691444,1.5233228103995574e+17
7.076078987816397e-05,24984975686620.953,-3.7547697167908854e+18,568.7442045626235,3.8915756860564154e+17
7.529882937207217e-05,75123670179822.92,-1.0643921582443964e+19,586.8833705471034,9.689744439278574e+17
8.006377084067578e-05,219278257063515.66,-2.923827438708771e+19,605.6152294089991,2.347792299997284e+18
