t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-10,7.408221873247531e-08,-96.56943088071115,300.1771104379884,2838.6930218046978
2.0500000000000002e-10,7.408221873247531e-08,-96.81524146684136,300.27581027017385,2838.6930218046978
3.1525e-10,7.408221873247531e-08,-97.0214277517186,300.35845107211645,2838.6930218046978
4.3101250000000007e-10,7.408221873247531e-08,-97.21385426896644,300.43545496513957,2838.6930218046978
5.525631250000001e-10,7.408221873247531e-08,-97.40271127411403,300.51091706218,2838.6930218046978
6.801912812500001e-10,7.408221873247531e-08,-97.59368072033587,300.5871100585672,2838.6930218046978
8.142008453125001e-10,7.408221873247531e-08,-97.79071270314142,300.66560359998465,2838.6930218046978
9.549108875781252e-10,7.408221873247531e-08,-97.99702656699898,300.7476670907407,2838.6930218046978
1.1026564319570316e-09,7.408221873247531e-08,-98.21556723238015,300.8344523950873,2838.6930218046978
1.2577892535548832e-09,7.408221873247531e-08,-98.44925677998933,300.92709353186996,2838.6930218046978
1.4206787162326274e-09,7.408221873247531e-08,-98.70116055178477,301.0267713504319,2838.6930218046978
1.591712652044259e-09,7.408221873247531e-08,-98.97461759443635,301.1347631167133,2838.6930218046978
1.7712982846464719e-09,7.408221873247531e-08,-99.27335980175383,301.2524866012054,2838.6930218046978
1.9598631988787956e-09,7.408221873247531e-08,-99.60163388774158,301.3815440497118,2838.6930218046978
2.1578563588227356e-09,7.408221873247531e-08,-99.96433619911225,301.5237696352136,2838.6930218046978
2.3578563588227357e-09,7.408221873247531e-08,-100.35113038589994,301.67502081958077,2838.6930218046978
2.557856358822736e-09,7.408221873247531e-08,-100.76033066822565,301.834563590912,2838.6930218046978
2.757856358822736e-09,7.408221873247531e-08,-101.19391859846115,302.0030915847416,2838.6930218046978
2.957856358822736e-09,7.408221873247531e-08,-101.65391399108137,302.18129983183115,2838.6930218046978
3.1578563588227363e-09,7.408221873247531e-08,-102.14240032330987,302.3698932304302,2838.6930218046978
3.3578563588227364e-09,7.408221873247531e-08,-102.6615447666771,302.5695926537402,2838.6930218046978
3.5578563588227366e-09,7.408221873247531e-08,-103.21361542585822,302.7811396998186,2838.6930218046978
3.757856358822737e-09,7.408221873247531e-08,-103.80099705052677,303.0053005665234,2838.6930218046978
3.957856358822737e-09,7.408221873247531e-08,-104.42620599379767,303.24286933412463,2838.6930218046978
4.157856358822737e-09,7.408221873247531e-08,-105.0919049440811,303.4946708359242,2838.6930218046978
4.357856358822737e-09,7.408221873247531e-08,-105.80091781729311,303.7615632374724,2838.6930218046978
4.557856358822737e-09,7.408221873247531e-08,-106.55624511279981,304.04444040750207,2838.6930218046978
4.757856358822737e-09,7.408221873247531e-08,-107.36107998592969,304.3442341391401,2838.6930218046978
4.9578563588227375e-09,7.408221873247531e-08,-108.21882526011821,304.66191626333426,2838.6930218046978
5.157856358822738e-09,7.408221873247531e-08,-109.13311158577856,304.9985006849038,2838.6930218046978
5.357856358822738e-09,7.408221873247531e-08,-110.107816946658,305.35504536345053,2838.6930218046978
5.557856358822738e-09,7.408221873247531e-08,-111.14708771516838,305.7326542554702,2838.6930218046978
5.757856358822738e-09,7.408221873247531e-08,-112.25536146437132,306.13247922967025,2838.6930218046978
5.957856358822738e-09,7.408221873247531e-08,-113.43739175494218,306.55572196426465,2838.6930218046978
6.157856358822738e-09,7.408221873247531e-08,-114.69827512994654,307.00363583256643,2838.6930218046978
6.3578563588227385e-09,7.408221873247531e-08,-116.04348056823876,307.47752778130126,2838.6930218046978
6.557856358822739e-09,7.408221873247531e-08,-117.47888166861664,307.9787602045876,2838.6930218046978
6.757856358822739e-09,7.408221873247531e-08,-119.01079186145796,308.50875281535036,2838.6930218046978
6.957856358822739e-09,7.408221873247531e-08,-120.64600297246714,309.06898451497665,2838.6930218046978
7.157856358822739e-09,7.408221873247531e-08,-122.39182749452691,309.6609952612399,2838.6930218046978
7.357856358822739e-09,7.408221873247531e-08,-124.25614495861367,310.2863879338608,2838.6930218046978
7.557856358822738e-09,7.408221873247531e-08,-126.24745283352274,310.94683019651,2838.6930218046978
7.757856358822739e-09,7.408221873247531e-08,-128.37492242703613,311.6440563535776,2838.6930218046978
7.957856358822739e-09,7.408221873247531e-08,-130.64846030838126,312.37986919960474,2838.6930218046978
8.157856358822739e-09,7.408221873247531e-08,-133.07877582371898,313.1561418588954,2838.6930218046978
8.357856358822739e-09,7.408221873247531e-08,-135.67745533323304,313.9748196124788,2838.6930218046978
8.557856358822739e-09,7.408221873247531e-08,-138.457043860535,314.8379217092838,2838.6930218046978
8.75785635882274e-09,7.408221873247531e-08,-141.43113491281855,315.7475431580909,2838.6930218046978
8.95785635882274e-09,7.408221873247531e-08,-144.61446930384662,316.705856496563,2838.6930218046978
9.15785635882274e-09,7.408221873247531e-08,-148.02304389165212,317.7151135333922,2838.6930218046978
9.35785635882274e-09,7.408221873247531e-08,-151.67423122914008,318.7776470593757,2838.6930218046978
9.55785635882274e-09,7.408221873247531e-08,-155.5869112185855,319.895872522989,2838.6930218046978
9.75785635882274e-09,7.408221873247531e-08,-159.78161596067227,321.0722896658253,2838.6930218046978
9.95785635882274e-09,7.408221873247531e-08,-164.28068909501604,322.30948411305786,2838.6930218046978
1.015785635882274e-08,7.408221873247531e-08,-169.10846104201693,323.6101289138859,2838.6930218046978
1.035785635882274e-08,7.408221873247531e-08,-174.2914416751436,324.9769860267526,2838.6930218046978
1.055785635882274e-08,7.408221873247531e-08,-179.85853207768577,326.41290774393514,2838.6930218046978
1.075785635882274e-08,7.408221873247531e-08,-185.84125716804792,327.92083804995275,2838.6930218046978
1.095785635882274e-08,7.408221873247531e-08,-192.27402111156192,329.5038139080834,2838.6930218046978
1.1157856358822741e-08,7.408221873247531e-08,-199.19438757319372,331.16496646913737,2838.6930218046978
1.1357856358822741e-08,7.408221873247531e-08,-206.64338700245492,332.90752219650295,2838.6930218046978
1.1557856358822741e-08,7.408221873247531e-08,-214.66585327692158,334.73480390135626,2838.6930218046978
1.1757856358822741e-08,7.408221873247531e-08,-223.31079216106673,336.65023168183205,2838.6930218046978
1.1957856358822741e-08,7.408221873247531e-08,-232.6317841587333,338.65732375983396,2838.6930218046978
1.2157856358822742e-08,7.408221873247531e-08,-242.6874244464314,340.7596972091028,2838.6930218046978
1.2357856358822742e-08,7.408221873247531e-08,-253.5418026650633,342.9610685680743,2838.6930218046978
1.2557856358822742e-08,7.408221873247531e-08,-265.2650254137752,345.2652543310077,2838.6930218046978
1.2757856358822742e-08,7.408221873247531e-08,-277.933784324058,347.67617131082255,2838.6930218046978
1.2957856358822742e-08,7.408221873247531e-08,-291.631972586838,350.1978368670616,2838.6930218046978
1.3157856358822742e-08,7.408221873247531e-08,-306.4513527505888,352.8343689923602,2838.6930218046978
1.3357856358822742e-08,7.408221873247531e-08,-322.49227849455144,355.58998625083836,2838.6930218046978
1.3557856358822743e-08,7.408221873247531e-08,-339.86447289592513,358.4690075618196,2838.6930218046978
1.3757856358822743e-08,7.408221873247531e-08,-358.6878654415284,361.4758518223231,2838.6930218046978
1.3957856358822743e-08,7.408221873247531e-08,-379.0934896695873,364.6150373618307,2838.6930218046978
