t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-08,0.0005449584266328782,-804.865652489192,301.80743866362815,200276.04145600303
2.05e-08,0.0005449584266328782,-864.9014106723732,304.65048950960994,200276.04145600303
3.1525e-08,0.0005449584266328782,-948.4352058015218,308.37518441749467,200276.04145600303
4.3101250000000004e-08,0.0005449584266328782,-1058.356785503657,312.92685961757235,200276.04145600303
5.5256312500000004e-08,0.0005449584266328782,-1199.4147882872942,318.2879468955374,200276.04145600303
6.801912812500001e-08,0.0005449584266328782,-1378.1013638920817,324.4584731948957,200276.04145600303
8.142008453125001e-08,0.0005449584266328782,-1602.829075950024,331.44875180246675,200276.04145600303
9.549108875781251e-08,0.0005449584266328782,-1884.226022014489,339.27562629670604,200276.04145600303
1.1026564319570314e-07,0.0005449584266328782,-2235.5084835855364,347.9603350225379,200276.04145600303
1.2577892535548832e-07,0.0005449584266328782,-2672.906510533356,357.52716673001044,200276.04145600303
1.4206787162326273e-07,0.0005449584266328782,-3216.1202008477912,368.0025358381182,200276.04145600303
1.5917126520442587e-07,0.0005449584266328782,-3888.780338076132,379.4142938096374,200276.04145600303
1.7712982846464716e-07,0.0005449584266328782,-4718.880387347629,391.79117869566664,200276.04145600303
1.9598631988787953e-07,0.0005449584266328782,-5739.139733905354,405.162347389047,200276.04145600303
2.157856358822735e-07,0.0005449584266328782,-6987.252164957027,419.556957800714,200276.04145600303
2.357856358822735e-07,0.0005449584266328782,-8443.55616026058,434.40490093787275,200276.04145600303
2.557856358822735e-07,0.0005449584266328782,-10106.766877835353,449.51305128105264,200276.04145600303
2.7578563588227355e-07,1044838.7283414648,-1448901438044.064,464.8404728859639,12940289761104.756
2.9578563588227357e-07,4577593.077103307,-4981330940514.331,480.35123696576187,37238297980505.48
3.157856358822736e-07,15692729.258937173,-15742713265286.326,496.01360622959606,100584698869898.4
3.357856358822736e-07,48553541.131274275,-46714335782868.67,511.79941355503433,257405274128460.16
3.5578563588227363e-07,140145245.85992432,-130629730877153.7,527.6835674782519,625910163984262.1
3.7578563588227365e-07,381631232.06253666,-345411964143113.2,543.6436494679346,1450341503671142.0
3.9578563588227367e-07,985868118.1544735,-866535833561154.5,559.6595807050609,3211641126141594.0
