t(s),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),Total retention volume 1 (H m-2),Total solute volume 1 (H m-2),Total 1 volume 1 (H m-2),Recycling coefficient at surface 1 ()
1e-06,-2.593626252471839e+22,373.0490372086493,5467008004906460.0,3988865697492088.0,1478142307414374.5,0.8236928484140122
2.1000000000000002e-06,-2.775430760150094e+22,373.07536574081325,9480707495786862.0,5698194711588802.0,3782512784198064.0,0.8814309564553268
3.3100000000000005e-06,-2.8169954013711667e+22,373.09656160911567,1.3392836183787206e+16,6669584227324647.0,6723251956462550.0,0.8946311998165524
4.641000000000001e-06,-2.8330570080878485e+22,373.1155141861655,1.7482396399939088e+16,7268566756094467.0,1.0213829643844632e+16,0.8997321007555218
6.105100000000001e-06,-2.841197615252953e+22,373.1333015085604,2.1861725661926076e+16,7650822520222506.0,1.4210903141703552e+16,0.9023174230999629
7.715610000000002e-06,-2.846303095749785e+22,373.1504657281431,2.659676348280768e+16,7901034866938506.0,1.8695728615869124e+16,0.9039388393579723
9.487171000000002e-06,-2.850177566346241e+22,373.1673290843659,3.1736666468375148e+16,8070591775120366.0,2.366607469325479e+16,0.9051693072091709
1.1435888100000002e-05,-2.853596678101444e+22,373.1841057748375,3.732393096602097e+16,8192170924988109.0,2.913176004103285e+16,0.9062551606153835
1.3579476910000003e-05,-2.8569256808862563e+22,373.20095050280906,4.339856183038322e+16,8286848695483684.0,3.511171313489953e+16,0.9073123969012927
1.5937424601000003e-05,-2.860347648123179e+22,373.2179825742021,4.999996764478932e+16,8368174351710444.0,4.1631793293078936e+16,0.908399157161324
1.8531167061100006e-05,-2.863959444774084e+22,373.23529906981963,5.716783340914128e+16,8444763809959939.0,4.8723069599181304e+16,0.9095462041070592
2.1384283767210007e-05,-2.867815540001197e+22,373.25298259400176,6.494246693473932e+16,8522044034844664.0,5.642042289989465e+16,0.9107708362445344
2.452271214393101e-05,-2.871948954947592e+22,373.27110610681547,7.336483963719594e+16,8603444094167192.0,6.476139554302877e+16,0.9120835405432467
2.7974983358324114e-05,-2.8763814183815294e+22,373.28973608634067,8.247642905229368e+16,8691198063551975.0,7.378523098874181e+16,0.9134912177010143
3.177248169415653e-05,-2.881128174727992e+22,373.3089346852201,9.231891952622643e+16,8786869727868687.0,8.35320497983577e+16,0.9149987090953579
3.5949729863572185e-05,-2.886200065640621e+22,373.328761255851,1.0293379369523504e+17,8891681171927156.0,9.4042112523308e+16,0.916609457856359
4.0544702849929404e-05,-2.8916042031518095e+22,373.34927346538257,1.1436183674490942e+17,9006708542471473.0,1.0535512820243805e+17,0.918325722648007
4.559917313492235e-05,-2.89734391485953e+22,373.370528136472,1.2664257219935067e+17,9132992454553376.0,1.1750957974479744e+17,0.9201485602604432
5.115909044841459e-05,-2.903418319521714e+22,373.39258190028056,1.3981364943817411e+17,9271596633655714.0,1.305420528045184e+17,0.9220776908257454
5.727499949325605e-05,-2.90982172884365e+22,373.4154917183918,1.539102078090702e+17,9423636876197474.0,1.4448657093287306e+17,0.9241113078354898
6.400249944258165e-05,-2.916542992327919e+22,373.4393153117964,1.689642490857003e+17,9590293685768742.0,1.5937395539993152e+17,0.9262458700759137
7.140274938683982e-05,-2.9235648714414242e+22,373.4641115232319,1.850040578988008e+17,9772816072414298.0,1.752312418263864e+17,0.928475902873704
